,support,itemsets
0,0.10398860398860399,frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv'})
1,0.17663817663817663,frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv'})
2,0.10256410256410256,frozenset({'0d7960a39b92dad88986deea6e5861bd00fb301e92d550c232aebb36ed010e46.out_converted.csv'})
3,0.09259259259259259,frozenset({'0dcfa54a7e8a4e631ef466670ce604a61f3b0e8b3e9cf72c943278c0f77c31a2.out_converted.csv'})
4,0.5626780626780626,frozenset({'1e48915f40bfdd75fb83e79779010336320af76411b9af9f0e68d361e63a2f60.out_converted.csv'})
5,0.08547008547008547,frozenset({'206cc0d26617057196f1e3e8903597fd0b234c9f945263fad9ac6b1686c71d21.out_converted.csv'})
6,0.09686609686609686,frozenset({'24ee0e3d65b0593198fbe973a58ca54402b0879d71912f44f4b831003a5c7819.out_converted.csv'})
7,0.18376068376068377,frozenset({'26d1a32a2bfb4beaf986d1b798f7f9705f11d6372b56332c612e58cc470634b4.out_converted.csv'})
8,0.11538461538461539,frozenset({'2c98b196a51f737f29689d16abeea620b0acfa6380bdc8e94a7a927477d81e3a.out_converted.csv'})
9,0.10113960113960115,frozenset({'2d39779ad930fe8c1f181285a8cd5a57f23cc871e1716a201206c8499cf4b9af.out_converted.csv'})
10,0.15242165242165243,frozenset({'2d6b53b1feb2ff94f2cf1ba443ae4aa81dca82fe7c9f6c8b859921997eb5cf70.out_converted.csv'})
11,0.17663817663817663,frozenset({'346599bff197dc24dba9875c1b765c160881919c3582dc0fae99c4c2cf5c8836.out_converted.csv'})
12,0.10398860398860399,frozenset({'3fac250cf6bdb0bf5b1707a970bd233e86dabc0765fede8238d761fb0f27c3da.out_converted.csv'})
13,0.12535612535612536,frozenset({'3ffc2327a5dd17978f62c44807e5bf9904bcdef222012a11e48801faf6861a67.out_converted.csv'})
14,0.11538461538461539,frozenset({'53046ec20ff41109e92ae74a5d9ea300d01c07d08fff936f2c7f527cae6384ec.out_converted.csv'})
15,0.1452991452991453,frozenset({'546a65849cd54b2ad6f2e7c386d6c50e366dfe3a16b49a032459cd17d7b0d7f2.out_converted.csv'})
16,0.11538461538461539,frozenset({'564a666d0a7efc39c9d53f5c6c4d95d5f7f6b7bff2dc9aa3c871f8c49650a99b.out_converted.csv'})
17,0.13817663817663817,frozenset({'5c03ff30ccffc9d36c342510c7469682d3c411654ec52b0930d37a6c6aab9f72.out_converted.csv'})
18,0.26638176638176636,frozenset({'64ef1e8134f02ab53f0fb2c3e8fde3cd1f4186635643bfbda6db7d00fd2a4881.out_converted.csv'})
19,0.17806267806267806,frozenset({'6734f3e911fadf340fc0aa4f8f55c15c8936c61f9b0e38bdfe9dde561cf09fa9.out_converted.csv'})
20,0.14957264957264957,frozenset({'78f92857e18107872526feb1ae834edb9b7189df4a2129a4125a3dd8917f9983.out_converted.csv'})
21,0.10256410256410256,frozenset({'8b44e74ab90b411576e99868cb6ad522ea06d62e4312ed2064a7dd72860063f6.out_converted.csv'})
22,0.09971509971509972,frozenset({'91d17b654a7658dfdd75fcb9191395e4992d43ea38585eba8ff5c21e78b5e017.out_converted.csv'})
23,0.1908831908831909,frozenset({'9a7e8ed9621c08964bd20eb8a95fbe9853e12ebc613c37f53774b17a2cbe9100.out_converted.csv'})
24,0.09116809116809117,frozenset({'9cb463404a95bc04ade046fe59e089c5c52fc4e0b2ab0e070f3c38a606518f32.out_converted.csv'})
25,0.12962962962962962,frozenset({'9e8e79637b5d21c7e3500345da26a2a15f77034623f6d711967b3750417f7ce5.out_converted.csv'})
26,0.09971509971509972,frozenset({'a3a6f6af9047ef527a89445c2cf297e6dd0828f1ddd6d97bf4bb9ed799a738bb.out_converted.csv'})
27,0.09259259259259259,frozenset({'a6d79e8de33e14b22fae06d4db8a3a93a606707f83a1aa367af04f516dcc1577.out_converted.csv'})
28,0.10398860398860399,frozenset({'a796c302688bee0f9b78a723caca6e335081e8b87b19a7427593c1fee1fe10dd.out_converted.csv'})
29,0.19943019943019943,frozenset({'a8fd2b696d0d819b13ccfac61686eea8a0638e67df3e3e869fbc95507d22b6ec.out_converted.csv'})
30,0.11396011396011396,frozenset({'aaf6ad951a8f36bd6f84d0387b9a17e3702068b4955e23bdacf5b4c17fd6cd2d.out_converted.csv'})
31,0.5413105413105413,frozenset({'b2617562e8abe0ed490725e51626cb5330d4e1c8a9b128e30958732bd96a77a8.out_converted.csv'})
32,0.5783475783475783,frozenset({'c34523bce4a4730a1ce69a4ef0c961db845c43b17a8457b9e79c02914c1874de.out_converted.csv'})
33,0.24074074074074073,frozenset({'c36050a2036ff0a1b42f9beb667914046a16071dfb6675424a56ea3874c686ff.out_converted.csv'})
34,0.11253561253561253,frozenset({'c7e39dfd0f42a9a8254bca7c4c20c393dce022fcb011fe7170af1538767d620f.out_converted.csv'})
