,execname,name,pid,arguments,return
0,analyzed_bin,ioctl,108,"0, 21505, 0x7ffdbd912a30",-25 (ENOTTY)
1,analyzed_bin,ioctl,108,"1, 21505, 0x7ffdbd912a30",-25 (ENOTTY)
2,analyzed_bin,time,108,0x0,1656919959
3,analyzed_bin,getpid,108,,108
4,analyzed_bin,time,108,0x0,1656919959
5,analyzed_bin,getpid,108,,108
6,analyzed_bin,socket,108,"PF_INET, SOCK_DGRAM, IPPROTO_IP",3
7,analyzed_bin,connect,108,"3, {AF_INET, 8.8.8.8, 53}, 16",0
8,analyzed_bin,getsockname,108,"3, 0x7ffdbd9119a0, 0x7ffdbd91199c",0
9,analyzed_bin,open,108,"""/proc/net/route"", O_RDONLY",4
10,analyzed_bin,read,108,"4, 0x7ffdbd910990, 1",1
11,analyzed_bin,read,108,"4, 0x7ffdbd910991, 1",1
12,analyzed_bin,read,108,"4, 0x7ffdbd910992, 1",1
13,analyzed_bin,read,108,"4, 0x7ffdbd910993, 1",1
14,analyzed_bin,read,108,"4, 0x7ffdbd910994, 1",1
15,analyzed_bin,read,108,"4, 0x7ffdbd910995, 1",1
16,analyzed_bin,read,108,"4, 0x7ffdbd910996, 1",1
17,analyzed_bin,read,108,"4, 0x7ffdbd910997, 1",1
18,analyzed_bin,read,108,"4, 0x7ffdbd910998, 1",1
19,analyzed_bin,read,108,"4, 0x7ffdbd910999, 1",1
20,analyzed_bin,read,108,"4, 0x7ffdbd91099a, 1",1
21,analyzed_bin,read,108,"4, 0x7ffdbd91099b, 1",1
22,analyzed_bin,read,108,"4, 0x7ffdbd91099c, 1",1
23,analyzed_bin,read,108,"4, 0x7ffdbd91099d, 1",1
24,analyzed_bin,read,108,"4, 0x7ffdbd91099e, 1",1
25,analyzed_bin,read,108,"4, 0x7ffdbd91099f, 1",1
26,analyzed_bin,read,108,"4, 0x7ffdbd9109a0, 1",1
27,analyzed_bin,read,108,"4, 0x7ffdbd9109a1, 1",1
28,analyzed_bin,read,108,"4, 0x7ffdbd9109a2, 1",1
29,analyzed_bin,read,108,"4, 0x7ffdbd9109a3, 1",1
30,analyzed_bin,read,108,"4, 0x7ffdbd9109a4, 1",1
31,analyzed_bin,read,108,"4, 0x7ffdbd9109a5, 1",1
32,analyzed_bin,read,108,"4, 0x7ffdbd9109a6, 1",1
33,analyzed_bin,read,108,"4, 0x7ffdbd9109a7, 1",1
34,analyzed_bin,read,108,"4, 0x7ffdbd9109a8, 1",1
35,analyzed_bin,read,108,"4, 0x7ffdbd9109a9, 1",1
36,analyzed_bin,read,108,"4, 0x7ffdbd9109aa, 1",1
37,analyzed_bin,read,108,"4, 0x7ffdbd9109ab, 1",1
38,analyzed_bin,read,108,"4, 0x7ffdbd9109ac, 1",1
39,analyzed_bin,read,108,"4, 0x7ffdbd9109ad, 1",1
40,analyzed_bin,read,108,"4, 0x7ffdbd9109ae, 1",1
41,analyzed_bin,read,108,"4, 0x7ffdbd9109af, 1",1
42,analyzed_bin,read,108,"4, 0x7ffdbd9109b0, 1",1
43,analyzed_bin,read,108,"4, 0x7ffdbd9109b1, 1",1
44,analyzed_bin,read,108,"4, 0x7ffdbd9109b2, 1",1
45,analyzed_bin,read,108,"4, 0x7ffdbd9109b3, 1",1
46,analyzed_bin,read,108,"4, 0x7ffdbd9109b4, 1",1
47,analyzed_bin,read,108,"4, 0x7ffdbd9109b5, 1",1
48,analyzed_bin,read,108,"4, 0x7ffdbd9109b6, 1",1
49,analyzed_bin,read,108,"4, 0x7ffdbd9109b7, 1",1
50,analyzed_bin,read,108,"4, 0x7ffdbd9109b8, 1",1
51,analyzed_bin,read,108,"4, 0x7ffdbd9109b9, 1",1
52,analyzed_bin,read,108,"4, 0x7ffdbd9109ba, 1",1
53,analyzed_bin,read,108,"4, 0x7ffdbd9109bb, 1",1
54,analyzed_bin,read,108,"4, 0x7ffdbd9109bc, 1",1
55,analyzed_bin,read,108,"4, 0x7ffdbd9109bd, 1",1
56,analyzed_bin,read,108,"4, 0x7ffdbd9109be, 1",1
57,analyzed_bin,read,108,"4, 0x7ffdbd9109bf, 1",1
58,analyzed_bin,read,108,"4, 0x7ffdbd9109c0, 1",1
