,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,mprotect,futex,,,,,,,,,,,,,
1,read,brk,,,,,,,,,,,,,
2,mprotect,brk,,,,,,,,,,,,,
3,faccessat,uname,,,,,,,,,,,,,
4,sched_getaffinity,openat,,,,,,,,,,,,,
5,brk,read,,,,,,,,,,,,,
6,sched_setaffinity,sched_setaffinity,,,,,,,,,,,,,
7,pipe2,write,,,,,,,,,,,,,
8,setsid,chdir,,,,,,,,,,,,,
9,close,exit_group,,,,,,,,,,,,,
10,ioctl,epoll_ctl,,,,,,,,,,,,,
11,close,brk,,,,,,,,,,,,,
12,rt_sigprocmask,futex,,,,,,,,,,,,,
13,futex,rt_sigprocmask,,,,,,,,,,,,,
14,futex,epoll_ctl,,,,,,,,,,,,,
15,futex,write,,,,,,,,,,,,,
16,epoll_pwait,read,,,,,,,,,,,,,
17,epoll_ctl,epoll_pwait,,,,,,,,,,,,,
18,epoll_ctl,close,,,,,,,,,,,,,
19,write,rt_sigreturn,,,,,,,,,,,,,
20,stat,writev,,,,,,,,,,,,,
21,mmap2,openat,,,,,,,,,,,,,
22,fstatat,openat,,,,,,,,,,,,,
23,close,read,,,,,,,,,,,,,
24,close,rt_sigprocmask,,,,,,,,,,,,,
25,close,clone,,,,,,,,,,,,,
26,execve,rt_sigaction,,,,,,,,,,,,,
27,fstat,openat,,,,,,,,,,,,,
28,brk,fstat,,,,,,,,,,,,,
29,arch_prctl,mmap2,,,,,,,,,,,,,
30,ioctl,fstat,,,,,,,,,,,,,
31,getdents,stat,,,,,,,,,,,,,
32,rt_sigreturn,read,,,,,,,,,,,,,
33,write,exit_group,,,,,,,,,,,,,
34,brk,close,,,,,,,,,,,,,
35,lstat,unlink,,,,,,,,,,,,,
36,clone,futex,,,,,,,,,,,,,
37,sched_yield,sched_yield,,,,,,,,,,,,,
38,write,epoll_ctl,,,,,,,,,,,,,
39,readv,close,,,,,,,,,,,,,
40,write,futex,,,,,,,,,,,,,
41,write,mmap2,,,,,,,,,,,,,
42,set_robust_list,mmap2,,,,,,,,,,,,,
43,munmap,mprotect,,,,,,,,,,,,,
44,futex,mmap2,,,,,,,,,,,,,
45,futex,openat,,,,,,,,,,,,,
46,bind,getsockname,,,,,,,,,,,,,
47,recvmsg,close,,,,,,,,,,,,,
48,chdir,write,,,,,,,,,,,,,
49,openat,futex,,,,,,,,,,,,,
50,close,uname,,,,,,,,,,,,,
51,mmap2,socketpair,,,,,,,,,,,,,
52,stat,mkdir,,,,,,,,,,,,,
53,mkdir,stat,,,,,,,,,,,,,
54,write,clock_gettime,,,,,,,,,,,,,
55,clock_gettime,read,,,,,,,,,,,,,
56,exit,futex,,,,,,,,,,,,,
57,close,getpid,,,,,,,,,,,,,
58,futex,read,,,,,,,,,,,,,
59,epoll_pwait,nanosleep,,,,,,,,,,,,,
60,rt_sigprocmask,gettid,,,,,,,,,,,,,
61,set_robust_list,prctl,,,,,,,,,,,,,
