,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,mprotect,futex,,,,,,,,,,,,,
1,read,brk,,,,,,,,,,,,,
2,mprotect,brk,,,,,,,,,,,,,
3,brk,read,,,,,,,,,,,,,
4,setsid,chdir,,,,,,,,,,,,,
5,close,brk,,,,,,,,,,,,,
6,futex,write,,,,,,,,,,,,,
7,stat,writev,,,,,,,,,,,,,
8,mmap2,openat,,,,,,,,,,,,,
9,close,read,,,,,,,,,,,,,
10,close,clone,,,,,,,,,,,,,
11,fstat,openat,,,,,,,,,,,,,
12,brk,fstat,,,,,,,,,,,,,
13,ioctl,fstat,,,,,,,,,,,,,
14,getdents,stat,,,,,,,,,,,,,
15,brk,close,,,,,,,,,,,,,
16,lstat,unlink,,,,,,,,,,,,,
17,clone,futex,,,,,,,,,,,,,
18,readv,close,,,,,,,,,,,,,
19,write,futex,,,,,,,,,,,,,
20,write,mmap2,,,,,,,,,,,,,
21,munmap,mprotect,,,,,,,,,,,,,
22,futex,mmap2,,,,,,,,,,,,,
23,futex,openat,,,,,,,,,,,,,
24,bind,getsockname,,,,,,,,,,,,,
25,recvmsg,close,,,,,,,,,,,,,
26,chdir,write,,,,,,,,,,,,,
27,openat,futex,,,,,,,,,,,,,
28,mmap2,socketpair,,,,,,,,,,,,,
29,stat,mkdir,,,,,,,,,,,,,
30,mkdir,stat,,,,,,,,,,,,,
31,futex,read,,,,,,,,,,,,,
32,write,mkdir,,,,,,,,,,,,,
33,stat,clone,,,,,,,,,,,,,
34,read,mmap2,mprotect,,,,,,,,,,,,
35,mmap2,mprotect,futex,,,,,,,,,,,,
36,lseek,read,close,,,,,,,,,,,,
37,close,fstat,write,,,,,,,,,,,,
38,write,openat,write,,,,,,,,,,,,
39,openat,write,write,,,,,,,,,,,,
40,brk,open,read,,,,,,,,,,,,
41,brk,mmap2,mprotect,,,,,,,,,,,,
42,mmap2,mprotect,brk,,,,,,,,,,,,
43,fstat,fcntl,fcntl,,,,,,,,,,,,
44,fcntl,read,close,,,,,,,,,,,,
45,openat,stat,writev,,,,,,,,,,,,
46,fstat,write,write,,,,,,,,,,,,
47,brk,brk,mmap2,,,,,,,,,,,,
48,open,fstat,mmap2,,,,,,,,,,,,
49,read,close,munmap,,,,,,,,,,,,
50,read,close,mmap2,,,,,,,,,,,,
51,open,read,close,,,,,,,,,,,,
52,clone,close,stat,,,,,,,,,,,,
53,close,execve,brk,,,,,,,,,,,,
54,close,mmap2,mmap2,,,,,,,,,,,,
55,brk,brk,fstat,,,,,,,,,,,,
56,openat,brk,access,,,,,,,,,,,,
57,write,read,fstat,,,,,,,,,,,,
58,read,write,read,,,,,,,,,,,,
59,close,write,write,,,,,,,,,,,,
60,fstat,getdents,stat,,,,,,,,,,,,
61,mprotect,clone,futex,,,,,,,,,,,,
62,futex,open,fcntl,,,,,,,,,,,,
63,mmap2,brk,mmap2,,,,,,,,,,,,
64,readv,readv,close,,,,,,,,,,,,
