,0,1,2,3,4,5,6,7,8,9,10
0,arch_prctl,set_tid_address,91,,,,,,,,
1,brk,brk,77,,,,,,,,
2,mmap2,mmap2,68,,,,,,,,
3,set_tid_address,brk,68,,,,,,,,
4,set_tid_address,brk,brk,68,,,,,,,
5,mmap2,mprotect,67,,,,,,,,
6,mmap2,mprotect,mmap2,64,,,,,,,
7,mprotect,mmap2,64,,,,,,,,
8,mmap2,close,63,,,,,,,,
9,mmap2,mmap2,mprotect,63,,,,,,,
10,openat,openat,63,,,,,,,,
11,fstat,close,62,,,,,,,,
12,mmap2,mmap2,mmap2,62,,,,,,,
13,read,close,62,,,,,,,,
14,read,mmap2,62,,,,,,,,
15,close,close,61,,,,,,,,
16,brk,close,60,,,,,,,,
17,mmap2,mmap2,mmap2,mmap2,60,,,,,,
18,openat,openat,openat,60,,,,,,,
19,openat,openat,openat,openat,60,,,,,,
20,openat,openat,openat,openat,openat,60,,,,,
21,mmap2,mmap2,mprotect,mmap2,59,,,,,,
22,read,mmap2,mprotect,59,,,,,,,
23,read,mprotect,59,,,,,,,,
24,close,read,58,,,,,,,,
25,mmap2,mprotect,mmap2,mmap2,58,,,,,,
26,mprotect,mmap2,mmap2,58,,,,,,,
27,openat,openat,openat,openat,openat,openat,58,,,,
28,mmap2,mmap2,close,57,,,,,,,
29,read,fstat,57,,,,,,,,
30,stat,openat,57,,,,,,,,
31,stat,openat,openat,57,,,,,,,
32,fstat,mmap2,56,,,,,,,,
33,mmap2,mmap2,mmap2,mprotect,56,,,,,,
34,mmap2,mmap2,mprotect,mmap2,mmap2,56,,,,,
35,mmap2,mprotect,mmap2,mprotect,56,,,,,,
36,mmap2,mprotect,mprotect,56,,,,,,,
37,mprotect,close,56,,,,,,,,
38,mprotect,mmap2,mprotect,56,,,,,,,
39,mprotect,mprotect,56,,,,,,,,
40,read,read,56,,,,,,,,
41,close,mmap2,55,,,,,,,,
42,fstat,mmap2,close,55,,,,,,,
43,mprotect,mmap2,close,55,,,,,,,
44,openat,openat,openat,openat,openat,stat,55,,,,
45,openat,openat,openat,openat,openat,stat,openat,55,,,
46,openat,openat,openat,openat,stat,55,,,,,
47,openat,openat,openat,openat,stat,openat,55,,,,
48,openat,openat,openat,openat,stat,openat,openat,55,,,
49,openat,openat,openat,stat,55,,,,,,
50,openat,openat,openat,stat,openat,55,,,,,
51,openat,openat,openat,stat,openat,openat,55,,,,
52,openat,openat,stat,55,,,,,,,
53,openat,openat,stat,openat,55,,,,,,
54,openat,openat,stat,openat,openat,55,,,,,
55,openat,stat,55,,,,,,,,
56,openat,stat,openat,55,,,,,,,
57,openat,stat,openat,openat,55,,,,,,
58,brk,openat,54,,,,,,,,
59,brk,openat,openat,54,,,,,,,
60,fstat,read,54,,,,,,,,
61,mmap2,mmap2,mmap2,close,54,,,,,,
62,mmap2,mmap2,mmap2,mmap2,mmap2,54,,,,,
63,mmap2,mmap2,mmap2,mmap2,mprotect,54,,,,,
64,mmap2,mmap2,mmap2,mprotect,mmap2,54,,,,,
65,brk,brk,brk,53,,,,,,,
66,brk,read,53,,,,,,,,
67,close,openat,53,,,,,,,,
68,mmap2,mprotect,close,53,,,,,,,
69,mmap2,mprotect,mmap2,close,53,,,,,,
70,mmap2,read,53,,,,,,,,
71,mprotect,mmap2,mmap2,mmap2,53,,,,,,
72,mprotect,mmap2,mprotect,mmap2,53,,,,,,
73,mprotect,mprotect,mmap2,53,,,,,,,
74,openat,close,53,,,,,,,,
75,openat,fstat,53,,,,,,,,
76,openat,read,53,,,,,,,,
77,openat,read,close,53,,,,,,,
78,read,fstat,close,53,,,,,,,
79,rt_sigaction,rt_sigprocmask,53,,,,,,,,
80,close,read,close,52,,,,,,,
81,fstat,close,openat,52,,,,,,,
82,fstat,openat,52,,,,,,,,
83,mmap2,fstat,52,,,,,,,,
84,mmap2,mmap2,mprotect,close,52,,,,,,
85,mmap2,mmap2,mprotect,mmap2,close,52,,,,,
86,openat,close,openat,52,,,,,,,
87,openat,fstat,close,52,,,,,,,
88,openat,read,close,openat,52,,,,,,
89,openat,read,openat,52,,,,,,,
90,read,close,openat,52,,,,,,,
91,read,close,read,52,,,,,,,
92,read,openat,52,,,,,,,,
93,rt_sigaction,rt_sigaction,52,,,,,,,,
94,rt_sigaction,rt_sigaction,rt_sigprocmask,52,,,,,,,
95,stat,openat,openat,openat,52,,,,,,
96,brk,access,51,,,,,,,,
97,brk,brk,mmap2,51,,,,,,,
98,brk,mmap2,51,,,,,,,,
99,close,fstat,51,,,,,,,,
100,mmap2,mmap2,mprotect,mprotect,51,,,,,,
101,mmap2,mprotect,mmap2,mmap2,mmap2,51,,,,,
102,mmap2,mprotect,mmap2,mmap2,mprotect,51,,,,,
103,mmap2,mprotect,mmap2,mprotect,mmap2,51,,,,,
104,mmap2,mprotect,mprotect,mmap2,51,,,,,,
105,mprotect,mmap2,mmap2,close,51,,,,,,
106,mprotect,mmap2,mmap2,mprotect,51,,,,,,
107,mprotect,mmap2,mmap2,mprotect,mmap2,51,,,,,
108,openat,openat,fstat,51,,,,,,,
109,openat,openat,read,51,,,,,,,
110,openat,read,fstat,51,,,,,,,
111,close,openat,openat,50,,,,,,,
112,mmap2,mprotect,mmap2,mmap2,mprotect,mmap2,50,,,,
113,mprotect,mmap2,mmap2,mmap2,mprotect,50,,,,,
114,openat,fstat,close,openat,50,,,,,,
115,openat,fstat,openat,50,,,,,,,
116,openat,openat,openat,fstat,50,,,,,,
117,openat,openat,openat,openat,fstat,50,,,,,
118,openat,openat,openat,openat,openat,read,50,,,,
119,openat,openat,openat,openat,read,50,,,,,
120,openat,openat,openat,openat,read,fstat,50,,,,
121,openat,openat,openat,read,50,,,,,,
122,openat,openat,openat,read,fstat,50,,,,,
123,openat,openat,read,fstat,50,,,,,,
124,openat,read,fstat,close,50,,,,,,
125,read,close,fstat,50,,,,,,,
126,read,fstat,close,openat,50,,,,,,
127,read,fstat,openat,50,,,,,,,
128,brk,brk,close,49,,,,,,,
129,brk,brk,read,49,,,,,,,
130,brk,openat,openat,openat,49,,,,,,
131,brk,openat,openat,openat,openat,49,,,,,
132,close,openat,close,49,,,,,,,
133,close,openat,fstat,49,,,,,,,
134,close,openat,read,49,,,,,,,
135,close,openat,read,close,49,,,,,,
136,futex,futex,49,,,,,,,,
137,mmap2,close,read,49,,,,,,,
138,mmap2,fstat,mmap2,49,,,,,,,
139,mmap2,mmap2,mmap2,mmap2,close,49,,,,,
140,mmap2,mmap2,mprotect,mmap2,mmap2,close,49,,,,
141,mmap2,mprotect,mmap2,mmap2,close,49,,,,,
142,mmap2,mprotect,mmap2,mprotect,mprotect,49,,,,,
143,mmap2,mprotect,mprotect,mprotect,49,,,,,,
144,mprotect,mmap2,mmap2,mprotect,mprotect,49,,,,,
145,mprotect,mmap2,mprotect,mprotect,49,,,,,,
146,mprotect,mprotect,mprotect,49,,,,,,,
147,read,fstat,mmap2,49,,,,,,,
148,read,read,close,49,,,,,,,
149,stat,stat,49,,,,,,,,
150,stat,stat,stat,49,,,,,,,
151,stat,stat,stat,stat,49,,,,,,
152,stat,stat,stat,stat,stat,49,,,,,
153,arch_prctl,brk,48,,,,,,,,
154,arch_prctl,brk,brk,48,,,,,,,
155,brk,openat,openat,openat,openat,openat,48,,,,
156,close,fstat,close,48,,,,,,,
157,close,fstat,read,48,,,,,,,
158,fstat,read,close,48,,,,,,,
159,mmap2,mmap2,mmap2,mprotect,mprotect,48,,,,,
160,mmap2,mmap2,read,48,,,,,,,
161,mmap2,mprotect,fstat,48,,,,,,,
162,mmap2,mprotect,mmap2,mmap2,mmap2,mprotect,48,,,,
163,mprotect,fstat,48,,,,,,,,
164,mprotect,mmap2,mmap2,mmap2,mmap2,48,,,,,
165,mprotect,mmap2,mprotect,mmap2,mmap2,48,,,,,
166,mprotect,mprotect,mmap2,mmap2,48,,,,,,
167,openat,fstat,read,48,,,,,,,
168,openat,read,read,48,,,,,,,
169,read,close,openat,read,48,,,,,,
170,read,fstat,read,48,,,,,,,
171,read,mmap2,close,48,,,,,,,
172,read,openat,read,48,,,,,,,
173,access,openat,47,,,,,,,,
174,access,openat,openat,47,,,,,,,
175,access,openat,openat,openat,47,,,,,,
176,access,openat,openat,openat,openat,47,,,,,
177,access,openat,openat,openat,openat,openat,47,,,,
178,access,openat,openat,openat,openat,stat,47,,,,
179,access,openat,openat,openat,openat,stat,openat,47,,,
180,access,openat,openat,openat,stat,47,,,,,
181,access,openat,openat,openat,stat,openat,47,,,,
182,access,openat,openat,openat,stat,openat,openat,47,,,
183,access,openat,openat,openat,stat,openat,stat,47,,,
