,0,1,2,3,4,5,6,7,8,9,10
0,openat,openat,stat,openat,55,,,,,,
1,mprotect,mmap2,mmap2,51,,,,,,,
2,openat,openat,stat,openat,stat,openat,47,,,,
3,openat,openat,stat,openat,stat,openat,stat,openat,47,,
4,openat,openat,stat,openat,stat,openat,stat,openat,stat,openat,47.0
5,openat,stat,openat,stat,openat,47,,,,,
6,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,47.0
7,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,47.0
8,access,openat,openat,46,,,,,,,
9,access,openat,openat,stat,openat,46,,,,,
10,access,openat,openat,stat,openat,stat,openat,46,,,
11,access,openat,openat,stat,openat,stat,openat,stat,openat,stat,46.0
12,brk,access,openat,openat,46,,,,,,
13,brk,access,openat,openat,stat,openat,46,,,,
14,brk,access,openat,openat,stat,openat,stat,openat,46,,
15,brk,access,openat,openat,stat,openat,stat,openat,stat,openat,46.0
16,openat,read,fstat,mmap2,39,,,,,,
17,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,39,,,
18,read,fstat,mmap2,mmap2,39,,,,,,
19,fstat,mmap2,mprotect,37,,,,,,,
20,mmap2,mprotect,mmap2,close,37,,,,,,
21,openat,stat,openat,read,fstat,37,,,,,
22,openat,stat,openat,read,fstat,mmap2,mmap2,37,,,
23,openat,stat,openat,stat,openat,read,fstat,37,,,
24,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,37.0
25,openat,stat,openat,stat,openat,stat,openat,read,37,,
26,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,37.0
27,openat,stat,openat,stat,openat,stat,openat,stat,openat,read,37.0
28,stat,openat,read,fstat,mmap2,37,,,,,
29,stat,openat,read,fstat,mmap2,mmap2,mprotect,37,,,
30,stat,openat,stat,openat,read,fstat,37,,,,
31,stat,openat,stat,openat,read,fstat,mmap2,mmap2,37,,
32,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,37.0
33,stat,openat,stat,openat,stat,openat,read,fstat,37,,
34,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,37.0
35,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat,37.0
36,mmap2,mmap2,close,openat,36,,,,,,
37,close,munmap,35,,,,,,,,
38,close,openat,read,fstat,35,,,,,,
39,close,openat,read,fstat,mmap2,mprotect,mmap2,35,,,
40,fstat,mmap2,mprotect,mmap2,mmap2,35,,,,,
41,mmap2,close,openat,read,35,,,,,,
42,mmap2,close,openat,read,fstat,mmap2,35,,,,
43,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,35,,,,,,
44,set_tid_address,set_robust_list,rt_sigaction,35,,,,,,,
45,mmap2,mmap2,close,openat,read,fstat,34,,,,
46,mmap2,mprotect,mmap2,mmap2,close,openat,read,34,,,
47,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,34.0
48,mprotect,mmap2,mmap2,close,openat,read,34,,,,
49,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,34,,
50,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,34.0
51,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,33.0
52,mmap2,close,mmap2,33,,,,,,,
53,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,33.0
54,mmap2,mprotect,mmap2,mmap2,close,mmap2,33,,,,
55,mprotect,mmap2,close,openat,33,,,,,,
56,mprotect,mmap2,mmap2,close,mmap2,33,,,,,
57,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,33,,,
58,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,33,,
59,arch_prctl,mprotect,mprotect,31,,,,,,,
60,fstat,fstat,31,,,,,,,,
61,mmap2,arch_prctl,mprotect,31,,,,,,,
62,mmap2,arch_prctl,mprotect,mprotect,mprotect,31,,,,,
63,mmap2,mprotect,mmap2,close,openat,read,31,,,,
64,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,31,,
65,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,31.0
66,mprotect,mmap2,close,openat,read,fstat,31,,,,
67,lseek,read,close,30,,,,,,,
68,read,lseek,read,close,30,,,,,,
69,fstat,read,lseek,29,,,,,,,
70,fstat,read,lseek,read,close,29,,,,,
71,fstat,write,29,,,,,,,,
72,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,29.0
73,mprotect,set_tid_address,set_robust_list,29,,,,,,,
74,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,29,,,,,
75,rt_sigaction,rt_sigprocmask,prlimit64,29,,,,,,,
76,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,28.0
77,fstat,fstat,read,lseek,28,,,,,,
78,fstat,fstat,read,lseek,read,close,28,,,,
79,geteuid,getgid,getegid,28,,,,,,,
80,getgid,getegid,28,,,,,,,,
81,getuid,geteuid,getgid,getegid,28,,,,,,
82,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,28,,,,
83,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,28,,
84,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,prlimit64,28.0
85,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,28,,,,,
86,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,28,,,
87,mprotect,mprotect,set_tid_address,set_robust_list,28,,,,,,
88,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,28,,,,
89,close,mmap2,arch_prctl,27,,,,,,,
90,close,mmap2,arch_prctl,mprotect,mprotect,27,,,,,
91,fcntl,fcntl,27,,,,,,,,
92,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,27,,
93,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,27.0
94,mmap2,close,mmap2,arch_prctl,mprotect,27,,,,,
95,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,27,,,
96,mmap2,mmap2,close,mmap2,arch_prctl,27,,,,,
97,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,27,,,
98,mmap2,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,27,,
99,mmap2,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,27.0
100,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,27,,,
101,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,27.0
102,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,27,,,,
103,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,27,,
104,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,27.0
105,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,27.0
106,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,27.0
107,close,exit_group,26,,,,,,,,
108,brk,brk,getuid,geteuid,25,,,,,,
109,brk,getuid,geteuid,25,,,,,,,
110,mmap2,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,25.0
111,openat,fstat,fstat,read,25,,,,,,
112,openat,fstat,fstat,read,lseek,read,close,25,,,
113,brk,brk,brk,brk,brk,brk,brk,brk,brk,getuid,24.0
114,brk,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,24.0
115,brk,brk,brk,brk,brk,brk,brk,getuid,24,,
116,brk,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,24.0
117,brk,brk,brk,brk,brk,brk,getuid,geteuid,24,,
118,brk,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,24.0
119,brk,brk,brk,brk,brk,getuid,geteuid,24,,,
120,brk,brk,brk,brk,getuid,geteuid,24,,,,
121,brk,brk,brk,getuid,geteuid,24,,,,,
122,mmap2,mmap2,mprotect,mmap2,mmap2,24,,,,,
123,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,24.0
124,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,24,,,
125,brk,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,23.0
126,brk,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,23.0
127,brk,brk,getuid,geteuid,getgid,getegid,open,23,,,
128,fstat,mmap2,mprotect,mmap2,close,openat,23,,,,
129,getegid,open,brk,23,,,,,,,
130,getuid,geteuid,getgid,getegid,open,brk,23,,,,
131,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,23.0
132,open,brk,brk,brk,brk,23,,,,,
133,open,brk,brk,brk,brk,brk,brk,23,,,
134,open,brk,brk,brk,brk,brk,brk,brk,brk,brk,23.0
135,read,fstat,mmap2,mprotect,mmap2,close,openat,23,,,
136,rt_sigprocmask,rt_sigaction,23,,,,,,,,
137,brk,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,22.0
138,brk,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,22.0
139,brk,getuid,geteuid,getgid,getegid,open,brk,brk,22,,
140,brk,getuid,geteuid,getgid,getegid,open,brk,brk,brk,brk,22.0
141,close,openat,read,fstat,mmap2,mprotect,mmap2,close,openat,read,22.0
142,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,22.0
143,fstat,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,22.0
