,execname,name,pid,arguments,return
0,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 139844438518568",0
1,analyzed_bin,set_tid_address,108,0x7f301214ed30,108
2,analyzed_bin,brk,108,0x0,139844438519808
3,analyzed_bin,brk,108,0x7f3012161000,139844438593536
4,analyzed_bin,rt_sigaction,108,"SIGINT, {SIG_IGN}, 0x7fffe70e93e0, 8",0
5,analyzed_bin,rt_sigaction,108,"SIGQUIT, {SIG_IGN}, 0x7fffe70e93e0, 8",0
6,analyzed_bin,rt_sigprocmask,108,"SIG_BLOCK, [SIGCHLD], 0x7fffe70e9458, 8",0
7,analyzed_bin,pipe2,108,"[0, 0], O_CLOEXEC",0
8,analyzed_bin,rt_sigprocmask,108,"SIG_BLOCK, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS], 0x7fffe70e7df8, 8",0
9,analyzed_bin,clone,108,"CLONE_VM|CLONE_VFORK|SIGCHLD, 0x7fffe70e93e8, 0x0, 0x7fffe70e99c8",110
10,analyzed_bin,close,108,4,0
11,analyzed_bin,read,108,"3, 0x7fffe70e7dd4, 4",0
12,analyzed_bin,close,108,3,0
13,analyzed_bin,rt_sigprocmask,108,"SIG_SETMASK, [SIGCHLD], 0x0, 8",0
14,sh,execve,110,,0
15,sh,brk,110,0x0,6950912
16,sh,access,110,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
17,sh,openat,110,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
18,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
19,sh,stat,110,"""/lib64/tls/x86_64/x86_64"", 0x7ffc4098f020",-2 (ENOENT)
20,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
21,sh,stat,110,"""/lib64/tls/x86_64"", 0x7ffc4098f020",-2 (ENOENT)
22,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
23,sh,stat,110,"""/lib64/tls/x86_64"", 0x7ffc4098f020",-2 (ENOENT)
24,sh,openat,110,"AT_FDCWD, ""/lib64/tls/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
25,sh,stat,110,"""/lib64/tls"", 0x7ffc4098f020",-2 (ENOENT)
26,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
27,sh,stat,110,"""/lib64/x86_64/x86_64"", 0x7ffc4098f020",-2 (ENOENT)
28,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
29,sh,stat,110,"""/lib64/x86_64"", 0x7ffc4098f020",-2 (ENOENT)
30,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
31,sh,stat,110,"""/lib64/x86_64"", 0x7ffc4098f020",-2 (ENOENT)
32,sh,openat,110,"AT_FDCWD, ""/lib64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",3
33,sh,read,110,"3, 0x7ffc4098f188, 832",832
34,sh,fstat,110,"3, 0x7ffc4098f020",0
35,sh,mmap2,110,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f726b4ff000
36,sh,mmap2,110,"0x0, 2185824, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f726b0c5000
37,sh,mprotect,110,"0x7f726b0d8000, 2093056, PROT_NONE",0
38,sh,mmap2,110,"0x7f726b2d7000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 73728",0x7f726b2d7000
39,sh,mmap2,110,"0x7f726b2d9000, 6752, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f726b2d9000
40,sh,close,110,3,0
41,sh,openat,110,"AT_FDCWD, ""/lib64/libc.so.6"", O_RDONLY|O_CLOEXEC",3
42,sh,read,110,"3, 0x7ffc4098f158, 832",832
43,sh,fstat,110,"3, 0x7ffc4098eff0",0
44,sh,mmap2,110,"0x0, 3885056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f726ad10000
45,sh,mprotect,110,"0x7f726aebc000, 2093056, PROT_NONE",0
46,sh,mmap2,110,"0x7f726b0bb000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 1748992",0x7f726b0bb000
47,sh,mmap2,110,"0x7f726b0c1000, 14336, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f726b0c1000
48,sh,close,110,3,0
49,sh,mmap2,110,"0x0, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f726b4fc000
50,sh,arch_prctl,110,"ARCH_SET_FS, 140129403389760",0
51,sh,mprotect,110,"0x7f726b0bb000, 16384, PROT_READ",0
52,sh,mprotect,110,"0x7f726b2d7000, 4096, PROT_READ",0
53,sh,mprotect,110,"0x69e000, 4096, PROT_READ",0
54,sh,mprotect,110,"0x7f726b501000, 4096, PROT_READ",0
55,sh,getuid,110,,0
56,sh,brk,110,0x0,6950912
57,sh,brk,110,0x6c2000,7086080
58,sh,getpid,110,,110
