,execname,name,pid,arguments,return
0,analyzed_bin,mmap2,108,"0x1400000, 8674521, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, 0, 0",0x1400000
1,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7fff7d9c11b4, 4096",18
2,analyzed_bin,mmap2,108,"0x400000, 16285696, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
3,analyzed_bin,mmap2,108,"0x400000, 6286280, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
4,analyzed_bin,mprotect,108,"0x400000, 6286280, PROT_READ|PROT_EXEC",0
5,analyzed_bin,mmap2,108,"0xbfe000, 228737, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 6283264",0xbfe000
6,analyzed_bin,mprotect,108,"0xbfe000, 228737, PROT_READ|PROT_WRITE",0
7,analyzed_bin,mmap2,108,"0xc36000, 7673568, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0xc36000
8,analyzed_bin,open,108,"""/lib64/ld-linux-x86-64.so.2"", O_RDONLY",3
9,analyzed_bin,read,108,"3, 0x7fff7d9c07c0, 1024",1024
10,analyzed_bin,mmap2,108,"0x0, 2265088, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7feaa9781000
11,analyzed_bin,mmap2,108,"0x7feaa9781000, 154580, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7feaa9781000
12,analyzed_bin,mmap2,108,"0x7feaa99a7000, 8184, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 155648",0x7feaa99a7000
13,analyzed_bin,mmap2,108,"0x7feaa99a9000, 400, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7feaa99a9000
14,analyzed_bin,close,108,3,0
15,analyzed_bin,munmap,108,"0x1400000, 8674521",0
16,analyzed_bin,brk,108,0x0,20480000
17,analyzed_bin,access,108,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
18,analyzed_bin,openat,108,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
19,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
20,analyzed_bin,stat,108,"""/lib64/tls/x86_64/x86_64"", 0x7fff7d9c0170",-2 (ENOENT)
21,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
22,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7fff7d9c0170",-2 (ENOENT)
23,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
24,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7fff7d9c0170",-2 (ENOENT)
25,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
26,analyzed_bin,stat,108,"""/lib64/tls"", 0x7fff7d9c0170",-2 (ENOENT)
27,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
28,analyzed_bin,stat,108,"""/lib64/x86_64/x86_64"", 0x7fff7d9c0170",-2 (ENOENT)
29,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
30,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7fff7d9c0170",-2 (ENOENT)
31,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
32,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7fff7d9c0170",-2 (ENOENT)
33,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",3
34,analyzed_bin,read,108,"3, 0x7fff7d9c02d8, 832",832
35,analyzed_bin,fstat,108,"3, 0x7fff7d9c0170",0
36,analyzed_bin,mmap2,108,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7feaa977f000
37,analyzed_bin,mmap2,108,"0x0, 2221216, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7feaa9560000
38,analyzed_bin,mprotect,108,"0x7feaa957a000, 2093056, PROT_NONE",0
39,analyzed_bin,mmap2,108,"0x7feaa9779000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 102400",0x7feaa9779000
40,analyzed_bin,mmap2,108,"0x7feaa977b000, 13472, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7feaa977b000
41,analyzed_bin,close,108,3,0
42,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libc.so.6"", O_RDONLY|O_CLOEXEC",3
43,analyzed_bin,read,108,"3, 0x7fff7d9c02a8, 832",832
44,analyzed_bin,fstat,108,"3, 0x7fff7d9c0140",0
45,analyzed_bin,mmap2,108,"0x0, 3885056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7feaa91ab000
46,analyzed_bin,mprotect,108,"0x7feaa9357000, 2093056, PROT_NONE",0
