,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 1230534, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f05e2416000
2,analyzed_bin,mmap2,108,"0x7f05e2416000, 1230109, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7f05e2416000
3,analyzed_bin,mprotect,108,"0x7f05e2541000, 5830, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffe73aa31b0, 4095",18
5,analyzed_bin,mmap2,108,"0x400000, 6610944, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
6,analyzed_bin,mmap2,108,"0x400000, 3874614, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
7,analyzed_bin,mprotect,108,"0x400000, 3874614, PROT_READ|PROT_EXEC",0
8,analyzed_bin,mmap2,108,"0x9b2000, 38352, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 3874816",0x9b2000
9,analyzed_bin,mprotect,108,"0x9b2000, 38352, PROT_READ|PROT_WRITE",0
10,analyzed_bin,mmap2,108,"0x9bc000, 597064, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x9bc000
11,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7f05e2415000
12,analyzed_bin,close,108,3,0
13,analyzed_bin,munmap,108,"0x7f05e2416000, 1230534",0
14,analyzed_bin,uname,108,0x7ffe73aa3cf0,0
15,analyzed_bin,brk,108,0x0,10805248
16,analyzed_bin,brk,108,0xa4f240,10809920
17,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 10807552",0
18,analyzed_bin,set_tid_address,108,0xa4ebd0,108
19,analyzed_bin,set_robust_list,108,"0xa4ebe0, 24",0
20,analyzed_bin,rt_sigaction,108,"0x20, {0x562060, SA_SIGINFO|SA_RESTORER, 0x561770, [EMPTY]}, 0x0, 8",0
21,analyzed_bin,rt_sigaction,108,"0x21, {0x5620f0, SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x561770, [EMPTY]}, 0x0, 8",0
22,analyzed_bin,rt_sigprocmask,108,"SIG_UNBLOCK, [EMPTY], 0x0, 8",0
23,analyzed_bin,getrlimit,108,"RLIMIT_STACK, 0x7ffe73aa3de0",0
24,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffe73aa2e20, 4096",18
25,analyzed_bin,brk,108,0xa70240,10945088
26,analyzed_bin,brk,108,0xa71000,10948608
27,analyzed_bin,access,108,"""/etc/ld.so.nohwcap"", F_OK",-2 (ENOENT)
28,analyzed_bin,futex,108,"0xa4accc, FUTEX_WAKE_PRIVATE, 2147483647",0
29,analyzed_bin,futex,108,"0xa4acd8, FUTEX_WAKE_PRIVATE, 2147483647",0
30,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f05e252f000
31,analyzed_bin,mprotect,108,"0x7f05e252f000, 81920, PROT_READ|PROT_EXEC",0
