,execname,name,pid,arguments,return
0,analyzed_bin,brk,101,0x0,367128743936
1,analyzed_bin,faccessat,101,"AT_FDCWD, ""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
2,analyzed_bin,openat,101,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
3,analyzed_bin,openat,101,"AT_FDCWD, ""/lib64/tls/aarch64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
4,analyzed_bin,fstatat,101,"AT_FDCWD, ""/lib64/tls/aarch64"", 0x7fe71187a0, 0x0",-2 (ENOENT)
5,analyzed_bin,openat,101,"AT_FDCWD, ""/lib64/tls/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
6,analyzed_bin,fstatat,101,"AT_FDCWD, ""/lib64/tls"", 0x7fe71187a0, 0x0",-2 (ENOENT)
7,analyzed_bin,openat,101,"AT_FDCWD, ""/lib64/aarch64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
8,analyzed_bin,fstatat,101,"AT_FDCWD, ""/lib64/aarch64"", 0x7fe71187a0, 0x0",-2 (ENOENT)
9,analyzed_bin,openat,101,"AT_FDCWD, ""/lib64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",3
10,analyzed_bin,read,101,"3, 0x7fe7118900, 832",832
11,analyzed_bin,fstat,101,"3, 0x7fe71187a0",0
12,analyzed_bin,mmap2,101,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fadc36000
13,analyzed_bin,mmap2,101,"0x0, 181248, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7fadbe0000
14,analyzed_bin,mprotect,101,"0x7fadbf8000, 61440, PROT_NONE",0
15,analyzed_bin,mmap2,101,"0x7fadc07000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 94208",0x7fadc07000
16,analyzed_bin,mmap2,101,"0x7fadc09000, 13312, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fadc09000
17,analyzed_bin,close,101,3,0
18,analyzed_bin,openat,101,"AT_FDCWD, ""/lib64/libm.so.6"", O_RDONLY|O_CLOEXEC",3
19,analyzed_bin,read,101,"3, 0x7fe71188d0, 832",832
20,analyzed_bin,fstat,101,"3, 0x7fe7118770",0
21,analyzed_bin,mmap2,101,"0x0, 745584, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7fadb29000
22,analyzed_bin,mprotect,101,"0x7fadbcf000, 61440, PROT_NONE",0
23,analyzed_bin,mmap2,101,"0x7fadbde000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 675840",0x7fadbde000
24,analyzed_bin,close,101,3,0
25,analyzed_bin,openat,101,"AT_FDCWD, ""/lib64/libgcc_s.so.1"", O_RDONLY|O_CLOEXEC",3
