,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 880379, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f407e72d000
2,analyzed_bin,mmap2,108,"0x7f407e72d000, 879995, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7f407e72d000
3,analyzed_bin,mprotect,108,"0x7f407e803000, 3835, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffc5a135f50, 4095",18
5,analyzed_bin,mmap2,108,"0x7f407e804000, 3444736, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f407e804000
6,analyzed_bin,mmap2,108,"0x7f407e804000, 109664, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f407e804000
7,analyzed_bin,mprotect,108,"0x7f407e804000, 109664, PROT_READ",0
8,analyzed_bin,mmap2,108,"0x7f407e81f000, 2165992, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 110592",0x7f407e81f000
9,analyzed_bin,mprotect,108,"0x7f407e81f000, 2165992, PROT_READ|PROT_EXEC",0
10,analyzed_bin,mmap2,108,"0x7f407ea30000, 523044, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 2277376",0x7f407ea30000
11,analyzed_bin,mprotect,108,"0x7f407ea30000, 523044, PROT_READ",0
12,analyzed_bin,mmap2,108,"0x7f407eab0000, 55504, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 2797568",0x7f407eab0000
13,analyzed_bin,mprotect,108,"0x7f407eab0000, 55504, PROT_READ|PROT_WRITE",0
14,analyzed_bin,mmap2,108,"0x7f407eabe000, 582224, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f407eabe000
15,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7f407e72c000
16,analyzed_bin,close,108,3,0
17,analyzed_bin,munmap,108,"0x7f407e72d000, 880379",0
18,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 139914980409056",0
19,analyzed_bin,set_tid_address,108,0x7f407eb4c24c,108
20,analyzed_bin,brk,108,0x0,139914980413440
21,analyzed_bin,brk,108,0x7f407eb52000,139914980433920
22,analyzed_bin,open,108,"""/dev/urandom"", O_RDONLY",3
23,analyzed_bin,read,108,"3, 0x7ffc5a136c94, 4",4
24,analyzed_bin,brk,108,0x7f407eb53000,139914980438016
25,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f407e7f0000
26,analyzed_bin,mprotect,108,"0x7f407e7f0000, 81920, PROT_READ|PROT_EXEC",0
27,analyzed_bin,brk,108,0x7f407eb65000,139914980511744
28,analyzed_bin,clock_gettime,108,"CLOCK_REALTIME, 0x7ffc5a136c08",0
29,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7f407eabdc60, 519",18
30,analyzed_bin,open,108,"""/root/config.json"", O_RDONLY",-2 (ENOENT)
31,analyzed_bin,open,108,"""/root/.xmrig.json"", O_RDONLY",-2 (ENOENT)
32,analyzed_bin,open,108,"""/root/.config/xmrig.json"", O_RDONLY",-2 (ENOENT)
33,analyzed_bin,brk,108,0x7f407eb66000,139914980515840
34,analyzed_bin,brk,108,0x7f407eb77000,139914980585472
35,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffc5a135f40",8
36,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffc5a1359b0",8
37,analyzed_bin,clock_getres,108,"CLOCK_MONOTONIC_COARSE, 0x7ffc5a136bd8",0
38,analyzed_bin,epoll_create1,108,EPOLL_CLOEXEC,4
39,analyzed_bin,pipe2,108,"[-1, -1], O_CLOEXEC",0
40,analyzed_bin,write,108,"6, ""*"", 1",1
41,analyzed_bin,pipe2,108,"[-1, -1], O_NONBLOCK|O_CLOEXEC",0
42,analyzed_bin,eventfd2,108,"0, EFD_NONBLOCK|EFD_CLOEXEC",9
43,analyzed_bin,rt_sigprocmask,108,"SIG_SETMASK, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS], 0x7ffc5a136b88, 8",0
44,analyzed_bin,read,108,"5, 0x7ffc5a136aa7, 1",1
