,execname,name,pid,arguments,return
0,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 9570064",0
1,analyzed_bin,sched_getaffinity,108,"0, 8192, 0x7ffdfaf23578",8
2,analyzed_bin,openat,108,"AT_FDCWD, 0x8de7c0, O_RDONLY",-2 (ENOENT)
3,analyzed_bin,uname,108,0x7ffdfaf251e2,0
4,analyzed_bin,mmap2,108,"0x0, 262144, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b975a4000
5,analyzed_bin,mmap2,108,"0x0, 131072, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b97584000
6,analyzed_bin,mmap2,108,"0x0, 1048576, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b97484000
7,analyzed_bin,mmap2,108,"0x0, 8388608, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b96c84000
8,analyzed_bin,mmap2,108,"0x0, 67108864, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b92c84000
9,analyzed_bin,mmap2,108,"0x0, 536870912, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b72c84000
10,analyzed_bin,mmap2,108,"0xc000000000, 67108864, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0xc000000000
11,analyzed_bin,mmap2,108,"0xc000000000, 67108864, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0xc000000000
12,analyzed_bin,mmap2,108,"0x0, 33554432, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b70c84000
13,analyzed_bin,mmap2,108,"0x0, 2165768, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b70a73000
14,analyzed_bin,mmap2,108,"0x7f6b97584000, 131072, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f6b97584000
15,analyzed_bin,mmap2,108,"0x7f6b97504000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f6b97504000
16,analyzed_bin,mmap2,108,"0x7f6b9708a000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f6b9708a000
17,analyzed_bin,mmap2,108,"0x7f6b94cb4000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f6b94cb4000
18,analyzed_bin,mmap2,108,"0x7f6b82e04000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f6b82e04000
19,analyzed_bin,mmap2,108,"0x0, 1048576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b70973000
20,analyzed_bin,mmap2,108,"0x0, 65536, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b70963000
21,analyzed_bin,mmap2,108,"0x0, 65536, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f6b70953000
22,analyzed_bin,rt_sigprocmask,108,"SIG_SETMASK, NULL, 0x920700, 8",0
23,analyzed_bin,sigaltstack,108,"0x0, 0x7ffdfaf25500",0
24,analyzed_bin,sigaltstack,108,"{ss_sp=0xc000002000, ss_flags=0x0, ss_size=32768}, 0x0",0
25,analyzed_bin,rt_sigprocmask,108,"SIG_SETMASK, [EMPTY], 0x0, 8",0
26,analyzed_bin,gettid,108,,108
27,analyzed_bin,rt_sigaction,108,"SIGHUP, {NULL}, 0x7ffdfaf25508, 8",0
28,analyzed_bin,rt_sigaction,108,"SIGHUP, {0x46b020, SA_ONSTACK|SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x46b160, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
29,analyzed_bin,rt_sigaction,108,"SIGINT, {NULL}, 0x7ffdfaf25508, 8",0
30,analyzed_bin,rt_sigaction,108,"SIGQUIT, {NULL}, 0x7ffdfaf25508, 8",0
31,analyzed_bin,rt_sigaction,108,"SIGQUIT, {0x46b020, SA_ONSTACK|SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x46b160, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
32,analyzed_bin,rt_sigaction,108,"SIGILL, {NULL}, 0x7ffdfaf25508, 8",0
33,analyzed_bin,rt_sigaction,108,"SIGILL, {0x46b020, SA_ONSTACK|SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x46b160, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
34,analyzed_bin,rt_sigaction,108,"SIGTRAP, {NULL}, 0x7ffdfaf25508, 8",0
35,analyzed_bin,rt_sigaction,108,"SIGTRAP, {0x46b020, SA_ONSTACK|SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x46b160, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
36,analyzed_bin,rt_sigaction,108,"SIGABRT, {NULL}, 0x7ffdfaf25508, 8",0
37,analyzed_bin,rt_sigaction,108,"SIGABRT, {0x46b020, SA_ONSTACK|SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x46b160, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
38,analyzed_bin,rt_sigaction,108,"SIGBUS, {NULL}, 0x7ffdfaf25508, 8",0
39,analyzed_bin,rt_sigaction,108,"SIGBUS, {0x46b020, SA_ONSTACK|SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x46b160, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
40,analyzed_bin,rt_sigaction,108,"SIGFPE, {NULL}, 0x7ffdfaf25508, 8",0
