,execname,name,pid,arguments,return
0,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 139768705425280",0
1,analyzed_bin,set_tid_address,108,0x7f1e7009a2f0,108
2,analyzed_bin,brk,108,0x0,139768705429504
3,analyzed_bin,brk,108,0x7f1e7009c000,139768705433600
4,analyzed_bin,open,108,"0x7f1e6fec1a2c, O_RDONLY",3
5,analyzed_bin,read,108,"3, 0x7ffca3b38114, 4",4
6,analyzed_bin,brk,108,0x7f1e7009d000,139768705437696
7,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f1e6fa29000
8,analyzed_bin,mprotect,108,"0x7f1e6fa29000, 81920, PROT_READ|PROT_EXEC",0
9,analyzed_bin,brk,108,0x7f1e700af000,139768705511424
10,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7f1e6fffb260, 519",18
11,analyzed_bin,open,108,"""/root/config.json"", O_RDONLY",-2 (ENOENT)
12,analyzed_bin,open,108,"""/root/.xmrig.json"", O_RDONLY",-2 (ENOENT)
13,analyzed_bin,open,108,"""/root/.config/xmrig.json"", O_RDONLY",-2 (ENOENT)
14,analyzed_bin,brk,108,0x7f1e700b0000,139768705515520
15,analyzed_bin,brk,108,0x7f1e700c1000,139768705585152
16,analyzed_bin,brk,108,0x7f1e700c3000,139768705593344
17,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffca3b37bf0",8
18,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices"", R_OK|X_OK",0
19,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices/cpu0/topology/package_cpus"", R_OK",-2 (ENOENT)
20,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices/cpu0/topology/core_cpus"", R_OK",-2 (ENOENT)
21,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices/cpu0/topology/core_siblings"", R_OK",0
22,analyzed_bin,faccessat,108,"-1, ""/sys/bus/node/devices"", R_OK|X_OK",-2 (ENOENT)
23,analyzed_bin,faccessat,108,"-1, ""/sys/devices/system/node"", R_OK|X_OK",-2 (ENOENT)
24,analyzed_bin,uname,108,0x7f1e700c1590,0
25,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffca3b37a40",8
26,analyzed_bin,openat,108,"-1, ""/proc/cpuinfo"", O_RDONLY",4
27,analyzed_bin,read,108,"4, 0x7f1e700c1dd0, 1024",720
28,analyzed_bin,read,108,"4, 0x7f1e700c1dd0, 1024",0
29,analyzed_bin,close,108,4,0
30,analyzed_bin,open,108,"""/proc/mounts"", O_RDONLY",4
31,analyzed_bin,brk,108,0x7f1e700c8000,139768705613824
32,analyzed_bin,read,108,"4, 0x7f1e700c2590, 1024",459
33,analyzed_bin,read,108,"4, 0x7f1e700c2590, 1024",0
34,analyzed_bin,close,108,4,0
35,analyzed_bin,openat,108,"-1, ""/sys/devices/system/cpu/online"", O_RDONLY",4
36,analyzed_bin,read,108,"4, 0x7f1e700c24a0, 4097",2
37,analyzed_bin,close,108,4,0
38,analyzed_bin,openat,108,"-1, ""/sys/bus/cpu/devices"", O_RDONLY|O_DIRECTORY",4
39,analyzed_bin,fstat,108,"4, 0x7ffca3b37700",0
40,analyzed_bin,fcntl,108,"4, F_GETFL, 0x7ffca3b377b0",98304
41,analyzed_bin,fcntl,108,"4, F_SETFD, 0x1",0
42,analyzed_bin,getdents,108,"4, 0x7f1e700c24b8, 2048",72
