,execname,name,pid,arguments,return
0,analyzed_bin,brk,108,0x0,93941754015744
1,analyzed_bin,access,108,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
2,analyzed_bin,openat,108,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
3,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
4,analyzed_bin,stat,108,"""/lib64/tls/x86_64/x86_64"", 0x7ffccb19ece0",-2 (ENOENT)
5,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
6,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffccb19ece0",-2 (ENOENT)
7,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
8,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffccb19ece0",-2 (ENOENT)
9,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
10,analyzed_bin,stat,108,"""/lib64/tls"", 0x7ffccb19ece0",-2 (ENOENT)
11,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
12,analyzed_bin,stat,108,"""/lib64/x86_64/x86_64"", 0x7ffccb19ece0",-2 (ENOENT)
13,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
14,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffccb19ece0",-2 (ENOENT)
15,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
16,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffccb19ece0",-2 (ENOENT)
17,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libm.so.6"", O_RDONLY|O_CLOEXEC",3
18,analyzed_bin,read,108,"3, 0x7ffccb19ee48, 832",832
19,analyzed_bin,fstat,108,"3, 0x7ffccb19ece0",0
20,analyzed_bin,mmap2,108,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f4f517f8000
21,analyzed_bin,mmap2,108,"0x0, 3653968, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f4f51257000
22,analyzed_bin,mprotect,108,"0x7f4f513d3000, 2093056, PROT_NONE",0
23,analyzed_bin,mmap2,108,"0x7f4f515d2000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 1552384",0x7f4f515d2000
24,analyzed_bin,close,108,3,0
25,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",3
26,analyzed_bin,read,108,"3, 0x7ffccb19ee18, 832",832
27,analyzed_bin,fstat,108,"3, 0x7ffccb19ecb0",0
28,analyzed_bin,mmap2,108,"0x0, 2221216, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f4f51038000
29,analyzed_bin,mprotect,108,"0x7f4f51052000, 2093056, PROT_NONE",0
30,analyzed_bin,mmap2,108,"0x7f4f51251000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 102400",0x7f4f51251000
31,analyzed_bin,mmap2,108,"0x7f4f51253000, 13472, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f4f51253000
32,analyzed_bin,close,108,3,0
33,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libc.so.6"", O_RDONLY|O_CLOEXEC",3
34,analyzed_bin,read,108,"3, 0x7ffccb19ede8, 832",832
35,analyzed_bin,fstat,108,"3, 0x7ffccb19ec80",0
36,analyzed_bin,mmap2,108,"0x0, 3885056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f4f50c83000
37,analyzed_bin,mprotect,108,"0x7f4f50e2f000, 2093056, PROT_NONE",0
38,analyzed_bin,mmap2,108,"0x7f4f5102e000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 1748992",0x7f4f5102e000
39,analyzed_bin,mmap2,108,"0x7f4f51034000, 14336, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f4f51034000
40,analyzed_bin,close,108,3,0
41,analyzed_bin,mmap2,108,"0x0, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f4f517f5000
42,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 139978646443904",0
43,analyzed_bin,mprotect,108,"0x7f4f5102e000, 16384, PROT_READ",0
44,analyzed_bin,mprotect,108,"0x7f4f51251000, 4096, PROT_READ",0
45,analyzed_bin,mprotect,108,"0x7f4f515d2000, 4096, PROT_READ",0
46,analyzed_bin,mprotect,108,"0x557084d49000, 299008, PROT_READ",0
47,analyzed_bin,mprotect,108,"0x7f4f517fa000, 4096, PROT_READ",0
48,analyzed_bin,set_tid_address,108,0x7f4f517f5a50,108
49,analyzed_bin,set_robust_list,108,"0x7f4f517f5a60, 24",0
50,analyzed_bin,rt_sigaction,108,"0x20, {0x7f4f5103e2e0, SA_SIGINFO|SA_RESTORER, 0x7f4f51049fe0, [EMPTY]}, 0x0, 8",0
51,analyzed_bin,rt_sigaction,108,"0x21, {0x7f4f5103e380, SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x7f4f51049fe0, [EMPTY]}, 0x0, 8",0
52,analyzed_bin,rt_sigprocmask,108,"SIG_UNBLOCK, [EMPTY], 0x0, 8",0
53,analyzed_bin,prlimit64,108,"0, RLIMIT_STACK, NULL, 0x7ffccb19fa00",0
54,analyzed_bin,openat,108,"AT_FDCWD, 0x5570849d49f7, O_RDONLY|O_NOCTTY|O_CLOEXEC",3
55,analyzed_bin,read,108,"3, 0x557084e01da0, 32",32
56,analyzed_bin,close,108,3,0
57,analyzed_bin,futex,108,"0x557084e077e4, FUTEX_WAKE_PRIVATE, 2147483647",0
58,analyzed_bin,futex,108,"0x557084e077f0, FUTEX_WAKE_PRIVATE, 2147483647",0
59,analyzed_bin,brk,108,0x0,93941754015744
60,analyzed_bin,brk,108,0x557084e2c000,93941754150912
61,analyzed_bin,openat,108,"AT_FDCWD, 0x7f4f50e00110, O_RDONLY|O_CLOEXEC",3
62,analyzed_bin,read,108,"3, 0x7ffccb19d8d0, 8192",2
63,analyzed_bin,close,108,3,0
64,analyzed_bin,mmap2,108,"0x0, 204800, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f4f517c3000
65,analyzed_bin,brk,108,0x557084e4e000,93941754290176
66,analyzed_bin,mmap2,108,"0x0, 155648, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f4f5179d000
67,analyzed_bin,brk,108,0x557084e75000,93941754449920
68,analyzed_bin,mlock,108,"0x557084e01000, 4096",0
69,analyzed_bin,openat,108,"AT_FDCWD, ""/etc/localtime"", O_RDONLY|O_CLOEXEC",3
70,analyzed_bin,fstat,108,"3, 0x7ffccb19d2f0",0
71,analyzed_bin,fstat,108,"3, 0x7ffccb19d130",0
72,analyzed_bin,read,108,"3, 0x557084e71ac0, 1024",127
73,analyzed_bin,lseek,108,"3, -71, SEEK_CUR",56
74,analyzed_bin,read,108,"3, 0x557084e71ac0, 1024",71
75,analyzed_bin,close,108,3,0
76,analyzed_bin,futex,108,"0x557084e05040, FUTEX_WAKE_PRIVATE, 2147483647",0
77,analyzed_bin,futex,108,"0x557084e05034, FUTEX_WAKE_PRIVATE, 2147483647",0
78,analyzed_bin,futex,108,"0x557084e0502c, FUTEX_WAKE_PRIVATE, 2147483647",0
79,analyzed_bin,futex,108,"0x557084e050d8, FUTEX_WAKE_PRIVATE, 2147483647",0
80,analyzed_bin,futex,108,"0x557084e05018, FUTEX_WAKE_PRIVATE, 2147483647",0
81,analyzed_bin,brk,108,0x557084e96000,93941754585088
82,analyzed_bin,futex,108,"0x557084e05010, FUTEX_WAKE_PRIVATE, 2147483647",0
83,analyzed_bin,futex,108,"0x557084e02534, FUTEX_WAKE_PRIVATE, 2147483647",0
84,analyzed_bin,futex,108,"0x557084e04ee4, FUTEX_WAKE_PRIVATE, 2147483647",0
85,analyzed_bin,futex,108,"0x557084e04ebc, FUTEX_WAKE_PRIVATE, 2147483647",0
86,analyzed_bin,futex,108,"0x557084e04eb0, FUTEX_WAKE_PRIVATE, 2147483647",0
87,analyzed_bin,futex,108,"0x557084e05024, FUTEX_WAKE_PRIVATE, 2147483647",0
88,analyzed_bin,futex,108,"0x557084e04fe0, FUTEX_WAKE_PRIVATE, 2147483647",0
89,analyzed_bin,futex,108,"0x557084e04fd8, FUTEX_WAKE_PRIVATE, 2147483647",0
