,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 992891, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f5919171000
2,analyzed_bin,mmap2,108,"0x7f5919171000, 992507, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7f5919171000
3,analyzed_bin,mprotect,108,"0x7f5919262000, 5755, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffc1ec89ec0, 4095",18
5,analyzed_bin,mmap2,108,"0x400000, 6004736, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
6,analyzed_bin,mmap2,108,"0x400000, 3057912, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
7,analyzed_bin,mprotect,108,"0x400000, 3057912, PROT_READ|PROT_EXEC",0
8,analyzed_bin,mmap2,108,"0x8eb000, 262168, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 3059712",0x8eb000
9,analyzed_bin,mprotect,108,"0x8eb000, 262168, PROT_READ|PROT_WRITE",0
10,analyzed_bin,mmap2,108,"0x92c000, 578912, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x92c000
11,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7f5919170000
12,analyzed_bin,close,108,3,0
13,analyzed_bin,munmap,108,"0x7f5919171000, 992891",0
14,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 10195464",0
15,analyzed_bin,set_tid_address,108,0x9b9240,108
16,analyzed_bin,brk,108,0x0,10199040
17,analyzed_bin,brk,108,0x9bc000,10207232
18,analyzed_bin,mmap2,108,"0x0, 65536, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f5919254000
19,analyzed_bin,mprotect,108,"0x7f5919254000, 65536, PROT_READ|PROT_EXEC",0
20,analyzed_bin,brk,108,0x9ce000,10280960
21,analyzed_bin,rt_sigaction,108,"SIGINT, {SIG_IGN}, 0x7ffc1ec89b50, 8",0
22,analyzed_bin,rt_sigaction,108,"SIGQUIT, {SIG_IGN}, 0x7ffc1ec89b50, 8",0
23,analyzed_bin,rt_sigprocmask,108,"SIG_BLOCK, [SIGCHLD], 0x7ffc1ec89bb8, 8",0
24,analyzed_bin,pipe2,108,"[0, 0], O_CLOEXEC",0
25,analyzed_bin,rt_sigprocmask,108,"SIG_BLOCK, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS], 0x7ffc1ec88530, 8",0
26,analyzed_bin,clone,108,"CLONE_VM|CLONE_VFORK|SIGCHLD, 0x7ffc1ec89b28, 0x0, 0x0",110
27,analyzed_bin,close,108,4,0
28,analyzed_bin,read,108,"3, 0x7ffc1ec8850c, 4",0
29,analyzed_bin,close,108,3,0
30,analyzed_bin,rt_sigprocmask,108,"SIG_SETMASK, [SIGCHLD], 0x0, 8",0
31,sh,execve,110,,0
32,sh,brk,110,0x0,6950912
33,sh,access,110,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
34,sh,openat,110,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
35,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
36,sh,stat,110,"""/lib64/tls/x86_64/x86_64"", 0x7fff338add30",-2 (ENOENT)
37,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
38,sh,stat,110,"""/lib64/tls/x86_64"", 0x7fff338add30",-2 (ENOENT)
39,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
40,sh,stat,110,"""/lib64/tls/x86_64"", 0x7fff338add30",-2 (ENOENT)
41,sh,openat,110,"AT_FDCWD, ""/lib64/tls/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
42,sh,stat,110,"""/lib64/tls"", 0x7fff338add30",-2 (ENOENT)
43,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
44,sh,stat,110,"""/lib64/x86_64/x86_64"", 0x7fff338add30",-2 (ENOENT)
45,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
46,sh,stat,110,"""/lib64/x86_64"", 0x7fff338add30",-2 (ENOENT)
47,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
48,sh,stat,110,"""/lib64/x86_64"", 0x7fff338add30",-2 (ENOENT)
49,sh,openat,110,"AT_FDCWD, ""/lib64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",3
50,sh,read,110,"3, 0x7fff338ade98, 832",832
51,sh,fstat,110,"3, 0x7fff338add30",0
52,sh,mmap2,110,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7faee7aac000
53,sh,mmap2,110,"0x0, 2185824, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7faee7672000
54,sh,mprotect,110,"0x7faee7685000, 2093056, PROT_NONE",0
55,sh,mmap2,110,"0x7faee7884000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 73728",0x7faee7884000
56,sh,mmap2,110,"0x7faee7886000, 6752, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7faee7886000
57,sh,close,110,3,0
58,sh,openat,110,"AT_FDCWD, ""/lib64/libc.so.6"", O_RDONLY|O_CLOEXEC",3
59,sh,read,110,"3, 0x7fff338ade68, 832",832
60,sh,fstat,110,"3, 0x7fff338add00",0
61,sh,mmap2,110,"0x0, 3885056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7faee72bd000
62,sh,mprotect,110,"0x7faee7469000, 2093056, PROT_NONE",0
63,sh,mmap2,110,"0x7faee7668000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 1748992",0x7faee7668000
64,sh,mmap2,110,"0x7faee766e000, 14336, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7faee766e000
65,sh,close,110,3,0
66,sh,mmap2,110,"0x0, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7faee7aa9000
67,sh,arch_prctl,110,"ARCH_SET_FS, 140389187753792",0
68,sh,mprotect,110,"0x7faee7668000, 16384, PROT_READ",0
69,sh,mprotect,110,"0x7faee7884000, 4096, PROT_READ",0
70,sh,mprotect,110,"0x69e000, 4096, PROT_READ",0
71,sh,mprotect,110,"0x7faee7aae000, 4096, PROT_READ",0
72,sh,getuid,110,,0
73,sh,brk,110,0x0,6950912
74,sh,brk,110,0x6c2000,7086080
75,sh,getpid,110,,110
76,sh,rt_sigaction,110,"SIGCHLD, {0x42cf95, SA_RESTORER, 0x7faee72f1b20, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
77,sh,rt_sigaction,110,"SIGHUP, {SIG_DFL}, 0x7fff338ae4f0, 8",0
78,sh,getppid,110,,108
79,sh,uname,110,0x7fff338ae788,0
80,sh,stat,110,"""/root"", 0x7fff338ae6f8",0
81,sh,stat,110,"""."", 0x7fff338ae788",0
82,sh,rt_sigaction,110,"SIGINT, {NULL}, 0x7fff338ae7a0, 8",0
83,sh,rt_sigaction,110,"SIGQUIT, {NULL}, 0x7fff338ae7a0, 8",0
84,sh,rt_sigaction,110,"SIGTERM, {NULL}, 0x7fff338ae7a0, 8",0
85,sh,stat,110,"""/bin/ps"", 0x7fff338ae690",0
86,sh,pipe,110,"[6965496, -1]",0
87,sh,clone,110,"CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID|SIGCHLD, 0x0, 0x0, 0x7faee7aa9a10",111
88,sh,close,110,4,0
89,sh,stat,110,"""/bin/head"", 0x7fff338ae690",-2 (ENOENT)
