,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 30846, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fc87cac5000
2,analyzed_bin,mmap2,108,"0x7fc87cac5000, 30373, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7fc87cac5000
3,analyzed_bin,mprotect,108,"0x7fc87cacb000, 6270, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7fffb7087e20, 4095",18
5,analyzed_bin,mmap2,108,"0x400000, 2170880, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
6,analyzed_bin,mmap2,108,"0x400000, 67344, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
7,analyzed_bin,mprotect,108,"0x400000, 67344, PROT_READ|PROT_EXEC",0
8,analyzed_bin,mmap2,108,"0x610000, 4120, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 65536",0x610000
9,analyzed_bin,mprotect,108,"0x610000, 4120, PROT_READ|PROT_WRITE",0
10,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7fc87cac4000
11,analyzed_bin,close,108,3,0
12,analyzed_bin,munmap,108,"0x7fc87cac5000, 30846",0
13,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 6361624",0
14,analyzed_bin,set_tid_address,108,0x611350,108
15,analyzed_bin,close,108,0,0
16,analyzed_bin,close,108,1,0
17,analyzed_bin,close,108,2,0
18,analyzed_bin,unlink,108,"""/root/analyzed_bin""",0
19,eKHKGDnN,prctl,108,"PR_SET_NAME, 0x7fffb7088bb4",0
20,eKHKGDnN,getpid,108,,108
21,eKHKGDnN,rt_sigaction,108,"SIGINT, {SIG_IGN}, 0x7fffb70886b0, 8",0
22,eKHKGDnN,rt_sigaction,108,"SIGQUIT, {SIG_IGN}, 0x7fffb70886b0, 8",0
23,eKHKGDnN,rt_sigprocmask,108,"SIG_BLOCK, [SIGCHLD], 0x7fffb7088748, 8",0
24,eKHKGDnN,rt_sigprocmask,108,"SIG_BLOCK, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS], 0x7fffb70870e8, 8",0
25,eKHKGDnN,pipe2,108,"[67109888, 67109888], O_CLOEXEC",0
26,eKHKGDnN,clone,108,"CLONE_VM|CLONE_VFORK|SIGCHLD, 0x7fffb70886d8, 0x0, 0x4000400",110
27,eKHKGDnN,close,108,1,0
28,eKHKGDnN,read,108,"0, 0x7fffb70870c4, 4",0
29,eKHKGDnN,close,108,0,0
30,eKHKGDnN,rt_sigprocmask,108,"SIG_SETMASK, [SIGCHLD], 0x0, 8",0
31,sh,execve,110,,0
32,sh,brk,110,0x0,6950912
33,sh,access,110,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
34,sh,openat,110,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
35,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
36,sh,stat,110,"""/lib64/tls/x86_64/x86_64"", 0x7ffd85c06470",-2 (ENOENT)
37,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
38,sh,stat,110,"""/lib64/tls/x86_64"", 0x7ffd85c06470",-2 (ENOENT)
