,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 2364190, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fa7a9b85000
2,analyzed_bin,mmap2,108,"0x7fa7a9b85000, 2363792, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7fa7a9b85000
3,analyzed_bin,mprotect,108,"0x7fa7a9dc5000, 4894, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7fff4b1c5710, 4095",18
5,analyzed_bin,mmap2,108,"0x7fa7a9dc7000, 7000064, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fa7a9dc7000
6,analyzed_bin,mmap2,108,"0x7fa7a9dc7000, 384272, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fa7a9dc7000
7,analyzed_bin,mprotect,108,"0x7fa7a9dc7000, 384272, PROT_READ",0
8,analyzed_bin,mmap2,108,"0x7fa7a9e25000, 4406449, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 385024",0x7fa7a9e25000
9,analyzed_bin,mprotect,108,"0x7fa7a9e25000, 4406449, PROT_READ|PROT_EXEC",0
10,analyzed_bin,mmap2,108,"0x7fa7aa259000, 1282377, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 4792320",0x7fa7aa259000
11,analyzed_bin,mprotect,108,"0x7fa7aa259000, 1282377, PROT_READ",0
12,analyzed_bin,mmap2,108,"0x7fa7aa393000, 266096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 6074368",0x7fa7aa393000
13,analyzed_bin,mprotect,108,"0x7fa7aa393000, 266096, PROT_READ|PROT_WRITE",0
14,analyzed_bin,mmap2,108,"0x7fa7aa3d4000, 654392, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fa7aa3d4000
15,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7fa7a9b84000
16,analyzed_bin,close,108,3,0
17,analyzed_bin,munmap,108,"0x7fa7a9b85000, 2364190",0
18,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 140358093060336",0
19,analyzed_bin,set_tid_address,108,0x7fa7aa473c30,108
20,analyzed_bin,brk,108,0x0,140358093062144
21,analyzed_bin,brk,108,0x7fa7aa475000,140358093066240
22,analyzed_bin,open,108,"""/dev/urandom"", O_RDONLY",3
23,analyzed_bin,read,108,"3, 0x7fff4b1c64a4, 4",4
24,analyzed_bin,brk,108,0x7fa7aa476000,140358093070336
25,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fa7a9db3000
26,analyzed_bin,mprotect,108,"0x7fa7a9db3000, 81920, PROT_READ|PROT_EXEC",0
27,analyzed_bin,brk,108,0x7fa7aa488000,140358093144064
28,analyzed_bin,brk,108,0x7fa7aa48d000,140358093164544
29,analyzed_bin,brk,108,0x7fa7aa48e000,140358093168640
30,analyzed_bin,brk,108,0x7fa7aa48f000,140358093172736
31,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7fa7aa3d42e0, 519",18
32,analyzed_bin,open,108,"""/root/config.json"", O_RDONLY",-2 (ENOENT)
33,analyzed_bin,open,108,"""/etc/localtime"", O_RDONLY|O_NONBLOCK|O_CLOEXEC",4
34,analyzed_bin,fstat,108,"4, 0x7fff4b1c5dc0",0
35,analyzed_bin,mmap2,108,"0x0, 127, PROT_READ, MAP_SHARED, 4, 0",0x7fa7a9db2000
36,analyzed_bin,close,108,4,0
37,analyzed_bin,ioctl,108,"1, 21523, 0x7fff4b1c5fa8",-25 (ENOTTY)
38,analyzed_bin,writev,108,"1, 0x7fff4b1c5f40, 2",62
39,analyzed_bin,brk,108,0x7fa7aa490000,140358093176832
40,analyzed_bin,brk,108,0x7fa7aa491000,140358093180928
41,analyzed_bin,open,108,"""/root/.xmrig.json"", O_RDONLY",-2 (ENOENT)
42,analyzed_bin,writev,108,"1, 0x7fff4b1c5fe0, 2",62
43,analyzed_bin,open,108,"""/root/.config/xmrig.json"", O_RDONLY",-2 (ENOENT)
44,analyzed_bin,writev,108,"1, 0x7fff4b1c5fe0, 2",69
45,analyzed_bin,writev,108,"1, 0x7fff4b1c61c0, 2",85
46,analyzed_bin,close,108,3,0
47,analyzed_bin,exit_group,108,2,
