,0
0,/usr/local/ssl/openssl.cnf
1,/dev/urandom
2,/root/config.json
3,/etc/localtime
4,/proc/cpuinfo
5,/proc/mounts
6,/sys/devices/system/cpu/online
7,/sys/bus/cpu/devices
8,/sys/bus/cpu/devices/cpu0/topology/thread_siblings
9,/sys/bus/cpu/devices/cpu0/topology/core_id
10,/sys/bus/cpu/devices/cpu0/topology/die_cpus
11,/sys/bus/cpu/devices/cpu0/topology/core_siblings
12,/sys/bus/cpu/devices/cpu0/topology/physical_package_id
13,/sys/bus/cpu/devices/cpu0/cache/index0/shared_cpu_map
14,/sys/bus/cpu/devices/cpu0/cache/index0/level
15,/sys/bus/cpu/devices/cpu0/cache/index0/type
16,/sys/bus/cpu/devices/cpu0/cache/index0/size
17,/sys/bus/cpu/devices/cpu0/cache/index0/coherency_line_size
18,/sys/bus/cpu/devices/cpu0/cache/index0/number_of_sets
19,/sys/bus/cpu/devices/cpu0/cache/index0/physical_line_partition
20,/sys/bus/cpu/devices/cpu0/cache/index1/shared_cpu_map
21,/sys/bus/cpu/devices/cpu0/cache/index1/level
22,/sys/bus/cpu/devices/cpu0/cache/index1/type
23,/sys/bus/cpu/devices/cpu0/cache/index2/shared_cpu_map
24,/sys/bus/cpu/devices/cpu0/cache/index2/level
25,/sys/bus/cpu/devices/cpu0/cache/index2/type
26,/sys/bus/cpu/devices/cpu0/cache/index2/size
27,/sys/bus/cpu/devices/cpu0/cache/index2/coherency_line_size
28,/sys/bus/cpu/devices/cpu0/cache/index2/number_of_sets
29,/sys/bus/cpu/devices/cpu0/cache/index2/physical_line_partition
30,/sys/bus/cpu/devices/cpu0/cache/index3/shared_cpu_map
31,/sys/bus/cpu/devices/cpu0/cache/index3/level
32,/sys/bus/cpu/devices/cpu0/cache/index3/type
33,/sys/bus/cpu/devices/cpu0/cache/index3/size
34,/sys/bus/cpu/devices/cpu0/cache/index3/coherency_line_size
35,/sys/bus/cpu/devices/cpu0/cache/index3/number_of_sets
36,/sys/bus/cpu/devices/cpu0/cache/index3/physical_line_partition
37,/sys/bus/cpu/devices/cpu0/cache/index4/shared_cpu_map
38,/sys/bus/cpu/devices/cpu0/cache/index5/shared_cpu_map
39,/sys/bus/cpu/devices/cpu0/cache/index6/shared_cpu_map
40,/sys/bus/cpu/devices/cpu0/cache/index7/shared_cpu_map
41,/sys/bus/cpu/devices/cpu0/cache/index8/shared_cpu_map
42,/sys/bus/cpu/devices/cpu0/cache/index9/shared_cpu_map
43,/proc/meminfo
44,/sys/devices/virtual/dmi/id
45,/sys/devices/virtual/dmi/id/product_name
46,/sys/devices/virtual/dmi/id/product_version
47,/sys/devices/virtual/dmi/id/product_serial
48,/sys/devices/virtual/dmi/id/product_uuid
49,/sys/devices/virtual/dmi/id/board_vendor
50,/sys/devices/virtual/dmi/id/board_name
51,/sys/devices/virtual/dmi/id/board_version
52,/sys/devices/virtual/dmi/id/board_serial
53,/sys/devices/virtual/dmi/id/board_asset_tag
54,/sys/devices/virtual/dmi/id/chassis_vendor
55,/sys/devices/virtual/dmi/id/chassis_type
56,/sys/devices/virtual/dmi/id/chassis_version
57,/sys/devices/virtual/dmi/id/chassis_serial
58,/sys/devices/virtual/dmi/id/chassis_asset_tag
59,/sys/devices/virtual/dmi/id/bios_vendor
60,/sys/devices/virtual/dmi/id/bios_version
61,/sys/devices/virtual/dmi/id/bios_date
62,/sys/devices/virtual/dmi/id/sys_vendor
63,/proc/elog
64,/sys/devices/system/cpu/possible
