,name
0,arch_prctl
1,set_tid_address
2,brk
3,brk
4,open
5,read
6,brk
7,mmap2
8,mprotect
9,brk
10,readlink
11,open
12,open
13,open
14,brk
15,brk
16,brk
17,sched_getaffinity
18,faccessat
19,faccessat
20,faccessat
21,faccessat
22,faccessat
23,faccessat
24,uname
25,sched_getaffinity
26,openat
27,read
28,read
29,close
30,open
31,brk
32,read
33,read
34,close
35,openat
36,read
37,close
38,openat
39,fstat
40,fcntl
41,fcntl
42,getdents
43,faccessat
44,getdents
45,close
46,openat
47,read
48,close
49,openat
50,read
51,close
52,openat
53,openat
54,read
55,close
56,openat
57,read
58,close
59,openat
60,openat
61,openat
62,read
63,close
64,openat
65,read
66,close
67,openat
68,read
69,close
70,openat
71,read
72,close
73,openat
74,read
75,close
76,openat
77,read
78,close
79,openat
80,read
81,close
82,openat
83,read
84,close
85,openat
86,read
87,close
88,openat
89,read
90,close
91,openat
92,read
93,close
94,openat
95,read
96,close
97,openat
98,read
99,close
100,openat
101,read
102,close
103,openat
104,read
105,close
106,openat
107,read
108,close
109,openat
110,read
111,close
112,openat
113,read
114,close
115,openat
116,read
117,close
118,openat
119,read
120,close
121,openat
122,read
123,close
124,openat
125,read
126,close
127,openat
128,read
129,close
130,openat
131,read
132,close
133,openat
134,openat
135,openat
136,openat
137,openat
138,openat
139,openat
140,stat
141,openat
142,read
143,close
144,openat
145,fstat
146,fcntl
147,fcntl
148,close
149,openat
150,read
151,close
152,openat
153,read
154,close
155,openat
156,read
157,close
158,openat
159,openat
160,openat
161,openat
162,openat
163,openat
164,openat
165,read
166,close
167,openat
168,read
169,close
170,openat
171,read
172,close
173,openat
174,read
175,close
176,openat
177,read
178,close
179,openat
180,read
181,close
182,openat
183,read
184,close
185,openat
186,read
187,close
188,openat
189,read
190,close
191,sched_getaffinity
192,openat
193,read
194,close
195,sched_getaffinity
196,sched_getaffinity
197,sched_setaffinity
198,sched_setaffinity
199,rt_sigaction
200,clock_getres
201,epoll_create1
202,pipe2
203,write
204,pipe2
205,eventfd2
206,rt_sigprocmask
207,read
208,rt_sigprocmask
209,rt_sigaction
