,name
0,arch_prctl
1,set_tid_address
2,brk
3,brk
4,rt_sigaction
5,rt_sigaction
6,rt_sigprocmask
7,pipe2
8,rt_sigprocmask
9,clone
10,close
11,read
12,close
13,rt_sigprocmask
14,execve
15,brk
16,access
17,openat
18,openat
19,stat
20,openat
21,stat
22,openat
23,stat
24,openat
25,stat
26,openat
27,stat
28,openat
29,stat
30,openat
31,stat
32,openat
33,read
34,fstat
35,mmap2
36,mmap2
37,mprotect
38,mmap2
39,mmap2
40,close
41,openat
42,read
43,fstat
44,mmap2
45,mprotect
46,mmap2
47,mmap2
48,close
49,mmap2
50,arch_prctl
51,mprotect
52,mprotect
53,mprotect
54,mprotect
55,getuid
56,brk
57,brk
58,getpid
59,rt_sigaction
60,rt_sigaction
61,getppid
62,uname
63,stat
64,stat
65,rt_sigaction
66,rt_sigaction
67,rt_sigaction
68,execve
69,write
70,write
71,write
72,exit_group
73,wait4
74,rt_sigaction
75,rt_sigaction
76,rt_sigprocmask
77,rt_sigaction
78,rt_sigaction
79,rt_sigprocmask
80,pipe2
81,rt_sigprocmask
82,clone
83,close
84,read
85,close
86,rt_sigprocmask
87,execve
88,brk
89,access
90,openat
91,openat
92,stat
93,openat
94,stat
95,openat
96,stat
97,openat
98,stat
99,openat
100,stat
101,openat
102,stat
103,openat
104,stat
105,openat
106,read
107,fstat
108,mmap2
109,mmap2
110,mprotect
111,mmap2
112,mmap2
113,close
114,openat
115,read
116,fstat
117,mmap2
118,mprotect
119,mmap2
120,mmap2
121,close
122,mmap2
123,arch_prctl
124,mprotect
125,mprotect
126,mprotect
127,mprotect
128,getuid
129,brk
130,brk
131,getpid
132,rt_sigaction
133,rt_sigaction
134,getppid
135,uname
136,stat
137,stat
138,rt_sigaction
139,rt_sigaction
140,rt_sigaction
141,execve
142,write
143,write
144,write
145,exit_group
146,wait4
147,rt_sigaction
148,rt_sigaction
149,rt_sigprocmask
150,rt_sigaction
151,rt_sigaction
152,rt_sigprocmask
153,pipe2
154,rt_sigprocmask
155,clone
156,close
157,read
158,close
159,rt_sigprocmask
160,execve
161,brk
162,access
163,openat
