,name
0,brk
1,access
2,openat
3,openat
4,stat
5,openat
6,stat
7,openat
8,stat
9,openat
10,stat
11,openat
12,stat
13,openat
14,stat
15,openat
16,stat
17,openat
18,read
19,fstat
20,mmap2
21,mmap2
22,mprotect
23,mmap2
24,mmap2
25,close
26,openat
27,read
28,fstat
29,mmap2
30,mprotect
31,mmap2
32,close
33,openat
34,read
35,fstat
36,mmap2
37,mprotect
38,mmap2
39,close
40,openat
41,openat
42,stat
43,openat
44,stat
45,openat
46,stat
47,openat
48,stat
49,openat
50,stat
51,openat
52,stat
53,openat
54,stat
55,openat
56,stat
57,writev
58,exit_group
