,name
0,brk
1,faccessat
2,openat
3,openat
4,fstatat
5,openat
6,fstatat
7,openat
8,fstatat
9,openat
10,read
11,fstat
12,mmap2
13,mmap2
14,mprotect
15,mmap2
16,mmap2
17,close
18,openat
19,read
20,fstat
21,mmap2
22,mprotect
23,mmap2
24,close
25,openat
26,read
27,fstat
28,mmap2
29,mprotect
30,mmap2
31,close
32,openat
33,read
34,fstat
35,mmap2
36,mprotect
37,mmap2
38,mmap2
39,close
40,mmap2
41,mprotect
42,mprotect
43,mprotect
44,mprotect
45,mprotect
46,mprotect
47,set_tid_address
48,set_robust_list
49,rt_sigaction
50,rt_sigaction
51,rt_sigprocmask
52,prlimit64
53,brk
54,brk
55,futex
56,futex
57,brk
58,mmap2
59,brk
60,mmap2
61,munmap
62,mmap2
63,munmap
64,mmap2
65,munmap
66,getpid
67,getpid
68,openat
69,fstat
70,ppoll
71,read
72,close
73,getuid
74,brk
75,getpid
76,getpid
77,getpid
78,getpid
79,getpid
80,getpid
81,getpid
82,getpid
83,getpid
84,getpid
85,getpid
86,getpid
87,getpid
88,getpid
89,getpid
90,getpid
91,getpid
92,getpid
93,getpid
94,getpid
95,getpid
96,getpid
97,getpid
98,getpid
99,getpid
100,getpid
101,getpid
102,getpid
103,getpid
104,getpid
105,getpid
106,getpid
107,getpid
108,getpid
109,getpid
110,getpid
111,getpid
112,getpid
113,getpid
114,getpid
115,getpid
116,getpid
117,getpid
118,getpid
119,getpid
120,getpid
121,getpid
122,getpid
123,getpid
124,getpid
125,getpid
126,getpid
127,getpid
128,getpid
129,getpid
130,getpid
131,getpid
132,getpid
133,getpid
134,getpid
135,getpid
136,getpid
137,getpid
138,getpid
139,getpid
140,getpid
141,getpid
142,getpid
143,getpid
144,getpid
145,getpid
146,getpid
147,getpid
148,getpid
149,getpid
150,getpid
151,getpid
152,getpid
153,getpid
154,getpid
155,getpid
156,getpid
157,getpid
158,getpid
159,getpid
160,getpid
161,getpid
162,getpid
163,getpid
164,getpid
165,getpid
166,getpid
167,getpid
168,getpid
169,getpid
170,getpid
171,getpid
172,getpid
173,getpid
174,getpid
175,getpid
176,getpid
177,getpid
178,getpid
179,getpid
180,getpid
181,getpid
182,getpid
183,getpid
184,getpid
185,getpid
186,getpid
187,getpid
188,getpid
189,getpid
190,getpid
191,getpid
192,getpid
193,getpid
194,getpid
195,getpid
196,getpid
197,getpid
198,getpid
199,getpid
200,getpid
201,getpid
202,getpid
203,getpid
204,getpid
205,getpid
206,getpid
207,getpid
208,getpid
209,getpid
210,getpid
211,getpid
212,getpid
213,getpid
214,getpid
215,getpid
216,getpid
217,getpid
218,getpid
219,openat
220,fstat
221,fstat
222,read
223,lseek
224,read
225,close
226,getpid
227,getpid
228,openat
229,read
230,close
231,brk
232,brk
233,getpid
234,openat
235,read
236,readlinkat
237,close
238,openat
239,read
240,readlinkat
241,close
242,openat
243,read
244,readlinkat
245,close
246,openat
247,read
248,readlinkat
249,close
250,openat
251,read
252,readlinkat
253,close
254,rt_sigaction
255,rt_sigaction
256,rt_sigaction
257,rt_sigaction
258,rt_sigaction
259,rt_sigaction
260,rt_sigaction
261,rt_sigaction
262,rt_sigaction
263,rt_sigaction
264,rt_sigaction
265,rt_sigaction
266,sigaltstack
267,sigaltstack
268,rt_sigprocmask
269,sigaltstack
270,rt_sigaction
271,rt_sigaction
272,rt_sigaction
273,rt_sigaction
274,rt_sigaction
275,rt_sigaction
276,getpid
277,openat
278,read
279,readlinkat
280,close
281,openat
282,read
283,readlinkat
284,close
285,openat
286,read
287,readlinkat
288,close
289,openat
290,read
291,readlinkat
292,close
293,openat
294,read
295,readlinkat
296,close
297,rt_sigaction
298,rt_sigaction
299,rt_sigaction
300,rt_sigaction
301,rt_sigaction
302,rt_sigaction
303,rt_sigaction
304,rt_sigaction
305,rt_sigaction
306,rt_sigaction
307,rt_sigaction
308,rt_sigaction
309,sigaltstack
310,sigaltstack
311,rt_sigprocmask
312,mmap2
313,mmap2
314,mmap2
315,brk
316,munmap
317,munmap
318,mlock
319,getpid
320,munlock
321,openat
322,fstatat
323,mmap2
324,mmap2
325,mmap2
326,brk
327,brk
328,brk
329,brk
330,brk
331,brk
332,brk
333,brk
334,brk
335,brk
336,brk
337,brk
338,brk
339,brk
340,brk
341,brk
342,brk
343,brk
344,brk
345,fstatat
346,getpid
347,fstatat
348,fstatat
349,mkdirat
350,fstatat
351,fstatat
352,fstatat
353,mkdirat
354,futex
355,prlimit64
356,futex
357,brk
358,getpid
359,statfs
360,fstatat
361,fstatat
362,mkdirat
363,openat
364,openat
365,fallocate
366,close
367,fstatat
368,openat
369,fstat
370,lseek
371,write
372,close
373,getpid
374,rt_sigprocmask
375,futex
376,sigaltstack
377,rt_sigaction
378,rt_sigaction
379,rt_sigaction
380,rt_sigaction
381,rt_sigaction
382,rt_sigaction
383,write
384,write
385,write
386,munmap
387,mmap2
388,munmap
389,munmap
390,munmap
391,munmap
392,exit_group
