,name
0,open
1,mmap2
2,mmap2
3,mprotect
4,readlink
5,mmap2
6,mmap2
7,mprotect
8,mmap2
9,mprotect
10,mmap2
11,mmap2
12,close
13,munmap
14,arch_prctl
15,set_tid_address
16,brk
17,brk
18,mmap2
19,mmap2
20,open
21,mmap2
22,read
23,mmap2
24,mprotect
25,mmap2
26,mmap2
27,unlink
28,prctl
29,readlink
30,open
31,open
32,open
33,mmap2
34,mmap2
35,sched_getaffinity
36,faccessat
37,faccessat
38,faccessat
39,faccessat
40,faccessat
41,faccessat
42,mmap2
43,uname
44,sched_getaffinity
45,openat
46,read
47,read
48,close
49,open
50,mmap2
51,read
52,read
53,close
54,munmap
55,openat
56,mmap2
57,read
58,munmap
59,close
60,openat
61,fstat
62,fcntl
63,mmap2
64,fcntl
65,getdents
66,faccessat
67,getdents
68,close
69,munmap
70,openat
71,mmap2
72,read
73,munmap
74,close
75,openat
76,read
77,close
78,openat
79,openat
80,mmap2
81,read
82,mmap2
83,munmap
84,munmap
85,close
86,openat
87,read
88,close
89,mmap2
90,openat
91,mmap2
92,read
93,munmap
94,close
95,openat
96,read
97,close
98,openat
99,read
100,close
101,openat
102,read
103,close
104,openat
105,read
106,close
107,openat
108,read
109,close
110,openat
111,read
112,close
113,openat
114,mmap2
115,read
116,munmap
117,close
118,openat
119,read
120,close
121,openat
122,read
123,close
124,openat
125,mmap2
126,read
127,munmap
128,close
129,openat
130,read
131,close
132,openat
133,read
134,close
135,openat
136,read
137,close
138,openat
139,read
140,close
141,openat
142,read
143,close
144,openat
145,read
146,close
147,openat
148,mmap2
149,read
150,munmap
151,close
152,openat
153,read
154,close
155,openat
156,read
157,close
158,openat
159,read
160,close
161,openat
162,read
163,close
164,openat
165,read
166,close
167,openat
168,read
169,close
170,openat
171,openat
172,openat
173,openat
174,openat
175,openat
176,stat
177,openat
178,read
179,close
180,openat
181,fstat
182,fcntl
183,mmap2
184,fcntl
185,close
186,munmap
187,openat
188,read
189,close
190,openat
191,read
192,close
193,openat
194,read
195,close
196,openat
197,openat
198,openat
199,openat
200,openat
201,openat
202,openat
203,read
204,close
205,openat
206,read
207,close
208,openat
209,read
210,close
211,openat
212,read
213,close
214,openat
215,read
216,close
217,openat
218,read
219,close
220,openat
221,read
222,close
223,openat
224,read
225,close
226,openat
227,read
228,close
229,mmap2
230,sched_getaffinity
231,open
232,mmap2
233,read
234,munmap
235,close
236,sched_getaffinity
237,sched_getaffinity
238,sched_setaffinity
239,sched_setaffinity
240,mmap2
241,munmap
242,mmap2
243,rt_sigaction
244,clock_getres
245,epoll_create1
246,pipe2
247,write
248,pipe2
249,eventfd2
250,rt_sigprocmask
251,read
252,rt_sigprocmask
253,rt_sigaction
254,write
255,rt_sigprocmask
256,rt_sigprocmask
257,read
258,rt_sigaction
259,write
260,rt_sigprocmask
261,rt_sigprocmask
262,read
263,rt_sigaction
264,write
265,rt_sigprocmask
266,rt_sigprocmask
267,read
268,rt_sigaction
269,write
270,rt_sigprocmask
271,rt_sigaction
272,open
273,close
274,munmap
275,close
276,close
277,exit_group
