,name
0,mmap2
1,readlink
2,mmap2
3,mmap2
4,mprotect
5,mmap2
6,mprotect
7,mmap2
8,munmap
9,uname
10,brk
11,brk
12,arch_prctl
13,set_tid_address
14,set_robust_list
15,rt_sigaction
16,rt_sigaction
17,rt_sigprocmask
18,getrlimit
19,readlink
20,brk
21,brk
22,futex
23,futex
24,open
25,fstat
26,mmap2
27,read
28,read
29,close
30,munmap
31,uname
32,socket
33,connect
34,close
35,socket
36,connect
37,close
38,open
39,fstat
40,mmap2
41,read
42,read
43,close
44,munmap
45,open
46,futex
47,open
48,fstat
49,mmap2
50,read
51,read
52,close
53,munmap
54,socket
55,connect
56,gettimeofday
57,poll
58,sendto
59,poll
60,ioctl
61,recvfrom
62,close
63,socket
64,setsockopt
65,connect
66,rt_sigprocmask
67,rt_sigaction
68,rt_sigprocmask
69,nanosleep
70,connect
71,rt_sigprocmask
72,rt_sigaction
73,rt_sigprocmask
74,nanosleep
75,close
76,open
77,fstat
78,mmap2
79,read
80,read
81,close
82,munmap
83,socket
84,connect
85,gettimeofday
86,poll
87,sendto
88,poll
89,ioctl
90,recvfrom
91,close
92,socket
93,setsockopt
94,connect
