,name
0,brk
1,faccessat
2,openat
3,openat
4,fstatat
5,openat
6,fstatat
7,openat
8,fstatat
9,openat
10,read
11,fstat
12,mmap2
13,mmap2
14,mprotect
15,mmap2
16,mmap2
17,close
18,openat
19,read
20,fstat
21,mmap2
22,mprotect
23,mmap2
24,close
25,openat
26,read
27,fstat
28,mmap2
29,mprotect
30,mmap2
31,close
32,openat
33,read
34,fstat
35,mmap2
36,mprotect
37,mmap2
38,mmap2
39,close
40,mmap2
41,mprotect
42,mprotect
43,mprotect
44,mprotect
45,mprotect
46,mprotect
47,set_tid_address
48,set_robust_list
49,rt_sigaction
50,rt_sigaction
51,rt_sigprocmask
52,prlimit64
53,brk
54,brk
55,futex
56,futex
57,openat
58,read
59,close
60,getpid
61,getpid
62,openat
63,fstat
64,ppoll
65,read
66,close
67,getuid
68,openat
69,fstat
70,fstat
71,read
72,lseek
73,read
74,close
75,getpid
76,getpid
77,getpid
78,getpid
79,getpid
80,getpid
81,getpid
82,getpid
83,getpid
84,getpid
85,getpid
86,getpid
87,getpid
88,getpid
89,getpid
90,getpid
91,getpid
92,getpid
93,getpid
94,getpid
95,getpid
96,getpid
97,getpid
98,getpid
99,getpid
100,getpid
101,getpid
102,getpid
103,getpid
104,getpid
105,getpid
106,getpid
107,getpid
108,getpid
109,getpid
110,getpid
111,getpid
112,getpid
113,getpid
114,getpid
115,getpid
116,getpid
117,getpid
118,getpid
119,getpid
120,getpid
121,getpid
122,getpid
123,getpid
124,getpid
125,getpid
126,getpid
127,getpid
128,getpid
129,getpid
130,getpid
131,getpid
132,getpid
133,getpid
134,getpid
135,getpid
136,getpid
137,getpid
138,getpid
139,getpid
140,getpid
141,getpid
142,getpid
143,getpid
144,getpid
145,getpid
146,getpid
147,getpid
148,getpid
149,getpid
150,getpid
151,getpid
152,getpid
153,getpid
154,getpid
155,getpid
156,getpid
157,getpid
158,getpid
159,getpid
160,getpid
161,getpid
162,getpid
163,getpid
164,getpid
165,getpid
166,getpid
167,getpid
168,getpid
169,getpid
170,getpid
171,getpid
172,getpid
173,getpid
174,getpid
175,getpid
176,getpid
177,getpid
178,getpid
179,getpid
180,getpid
181,getpid
182,getpid
183,getpid
184,getpid
185,getpid
186,getpid
187,getpid
188,getpid
189,getpid
190,getpid
191,getpid
192,getpid
193,getpid
194,getpid
195,getpid
196,getpid
197,getpid
198,getpid
199,getpid
200,getpid
201,getpid
202,getpid
203,getpid
204,getpid
205,getpid
206,getpid
207,getpid
208,getpid
209,getpid
210,getpid
211,getpid
212,getpid
213,getpid
214,getpid
215,getpid
216,getpid
217,getpid
218,getpid
219,getpid
220,getpid
221,brk
222,fstatat
223,fstatat
224,mkdirat
225,fstatat
226,openat
227,openat
228,lseek
229,close
230,fstatat
231,openat
232,openat
233,lseek
234,fstat
235,write
236,close
237,umask
238,rt_sigaction
239,rt_sigaction
240,rt_sigaction
241,rt_sigaction
242,prlimit64
243,mlock
244,getpid
245,munlock
246,mmap2
247,mmap2
248,mmap2
249,mmap2
250,munmap
251,munmap
252,munmap
253,mlock
254,getpid
255,getpid
256,munlock
257,futex
258,openat
259,lseek
260,close
261,openat
262,fcntl
263,getpid
264,openat
265,fstat
266,write
267,close
268,openat
269,openat
270,lseek
271,write
272,write
273,write
274,write
275,write
276,write
277,write
278,write
279,write
280,write
281,write
282,write
283,write
284,write
285,write
286,write
287,write
288,write
289,mmap2
290,mprotect
291,clone
292,set_robust_list
293,prctl
294,mmap2
295,munmap
296,munmap
297,mprotect
298,write
299,write
300,getuid
301,geteuid
302,getgid
303,getegid
304,getuid
305,geteuid
306,getgid
307,getegid
308,epoll_create1
309,getuid
310,geteuid
311,getgid
312,getegid
313,pipe2
314,getuid
315,geteuid
316,getgid
317,getegid
318,eventfd2
319,epoll_ctl
320,socket
321,bind
322,getsockname
323,sendto
324,recvmsg
325,recvmsg
326,recvmsg
327,close
328,write
329,write
330,write
331,write
332,socket
333,connect
334,close
335,socket
336,bind
337,getsockname
338,sendto
339,recvmsg
340,recvmsg
341,recvmsg
342,close
343,socket
344,setsockopt
345,setsockopt
346,bind
347,listen
348,epoll_ctl
349,write
350,write
351,write
352,write
353,getpid
354,openat
355,write
356,close
357,write
358,write
359,write
360,write
361,mmap2
362,mprotect
363,clone
364,mmap2
365,mprotect
366,clone
367,mmap2
368,mprotect
369,set_robust_list
370,prctl
371,clone
372,mmap2
373,mprotect
374,set_robust_list
375,prctl
376,clone
377,mmap2
378,mprotect
379,clone
380,fstatat
381,fstatat
382,fstatat
383,set_robust_list
384,prctl
385,set_robust_list
386,prctl
387,set_robust_list
388,prctl
389,mkdirat
390,fstatat
391,fstatat
392,openat
393,fstat
394,getdents
395,getdents
396,close
397,write
398,write
399,write
400,write
401,mkdirat
402,write
403,write
404,openat
405,lseek
406,openat
407,fstatat
408,openat
409,openat
410,fstat
411,getdents
412,fstatat
413,fstatat
414,fstatat
415,fstatat
416,fstatat
417,fstatat
418,fstatat
419,fstatat
420,fstatat
421,fstatat
422,fstatat
423,getdents
424,close
425,mmap2
426,brk
427,openat
428,fstat
429,getdents
430,fstatat
431,fstatat
432,getdents
433,close
434,brk
435,mmap2
436,brk
437,brk
438,brk
439,brk
440,brk
441,brk
442,brk
443,brk
444,brk
445,brk
446,brk
447,brk
448,brk
449,brk
450,brk
451,brk
452,brk
453,brk
454,brk
455,brk
456,brk
457,brk
458,brk
459,brk
460,brk
461,brk
462,brk
463,brk
464,brk
465,brk
466,brk
467,brk
468,brk
469,brk
470,brk
471,brk
472,brk
473,brk
474,brk
475,brk
476,brk
477,brk
478,brk
479,brk
480,brk
481,brk
482,brk
483,brk
484,brk
485,brk
486,brk
487,brk
488,brk
489,brk
490,brk
491,brk
492,brk
493,brk
494,brk
495,brk
496,brk
497,brk
498,brk
499,brk
500,brk
501,brk
502,brk
503,brk
504,brk
505,brk
506,brk
507,brk
508,fstatat
509,socket
510,setsockopt
511,fcntl
512,fcntl
513,setsockopt
514,bind
515,write
516,write
517,listen
518,socket
519,setsockopt
520,fcntl
521,fcntl
522,bind
523,write
524,write
525,listen
526,brk
527,brk
528,fstatat
529,fstatat
530,fstatat
531,mkdirat
532,fstatat
533,write
534,write
535,futex
536,prlimit64
537,futex
538,mkdirat
539,write
540,write
541,mkdirat
542,renameat
543,openat
544,mkdirat
545,openat
546,fcntl
547,faccessat
548,openat
549,fstat
550,write
551,close
552,openat
553,fstat
554,write
555,fdatasync
556,close
557,renameat
558,openat
559,fstat
560,read
561,read
562,read
563,close
564,openat
565,fstat
566,read
567,read
568,close
569,openat
570,fstat
571,getdents
572,getdents
573,close
574,openat
575,openat
576,fstat
577,write
578,write
579,openat
580,fsync
581,close
582,fdatasync
583,openat
584,fstat
585,write
586,fdatasync
587,close
588,renameat
589,openat
590,fstat
591,getdents
592,getdents
593,close
594,fstat
595,write
596,unlinkat
597,write
598,write
599,mkdirat
600,write
601,write
602,mkdirat
603,renameat
604,openat
605,mkdirat
606,openat
607,fcntl
608,faccessat
609,openat
610,fstat
611,write
612,close
613,openat
614,fstat
615,write
616,fdatasync
617,close
618,renameat
619,openat
620,fstat
621,read
622,read
623,read
624,close
625,openat
626,fstat
627,read
628,read
629,close
630,openat
631,fstat
632,getdents
633,getdents
634,close
635,openat
636,openat
637,fstat
638,write
639,write
640,openat
641,fsync
642,close
643,fdatasync
644,openat
645,fstat
646,write
647,fdatasync
648,close
649,renameat
650,openat
651,fstat
652,getdents
653,getdents
654,close
655,fstat
656,write
657,unlinkat
658,write
659,write
660,mkdirat
661,write
662,write
663,mkdirat
664,renameat
665,openat
666,mkdirat
667,openat
668,fcntl
669,faccessat
670,openat
671,fstat
672,write
673,close
674,openat
675,fstat
676,write
677,fdatasync
678,close
679,renameat
680,openat
681,fstat
682,read
683,read
684,read
685,close
686,openat
687,fstat
688,read
689,read
690,close
691,openat
692,fstat
693,getdents
694,getdents
695,close
696,openat
697,openat
698,fstat
699,write
700,write
701,openat
702,fsync
703,close
704,fdatasync
705,openat
706,fstat
707,write
708,fdatasync
709,close
710,renameat
711,openat
712,fstat
713,getdents
714,getdents
715,close
716,fstat
717,write
718,unlinkat
719,write
720,write
721,mkdirat
722,write
723,write
724,mkdirat
725,renameat
726,openat
727,mkdirat
728,openat
729,fcntl
730,faccessat
731,openat
732,fstat
733,write
734,close
735,openat
736,fstat
737,write
738,fdatasync
739,close
740,renameat
741,openat
742,fstat
743,read
744,read
745,read
746,close
747,openat
748,fstat
749,read
750,read
751,close
752,openat
753,fstat
754,getdents
755,getdents
756,close
757,openat
758,openat
759,fstat
760,write
761,write
762,openat
763,fsync
764,close
765,fdatasync
766,openat
767,fstat
768,write
769,fdatasync
770,close
771,renameat
772,openat
773,fstat
774,getdents
775,getdents
776,close
777,fstat
778,write
779,unlinkat
780,write
781,write
782,getpid
783,write
784,write
785,write
786,write
787,write
788,write
789,write
790,write
791,write
792,write
793,write
794,write
795,write
796,write
797,write
798,write
799,write
800,write
801,write
802,write
803,write
804,write
805,write
806,write
807,write
808,write
809,write
810,write
811,write
812,write
813,write
814,write
815,write
816,write
817,write
818,write
819,fstat
820,write
821,write
822,write
823,write
824,statfs
825,write
826,write
827,write
828,write
829,write
830,write
831,write
832,write
833,write
834,write
835,write
836,write
837,epoll_ctl
838,write
839,epoll_pwait
840,futex
841,futex
842,futex
843,read
844,futex
845,mmap2
846,munmap
847,munmap
848,mprotect
849,close
850,futex
851,futex
852,futex
853,futex
854,futex
855,futex
856,futex
857,futex
858,mmap2
859,munmap
860,mprotect
861,madvise
862,futex
863,futex
864,madvise
865,exit
866,futex
867,futex
868,futex
869,madvise
870,exit
871,futex
872,futex
873,futex
874,madvise
875,exit
876,futex
877,write
878,write
879,prctl
880,madvise
881,exit
882,futex
883,exit
884,futex
885,nanosleep
886,munmap
887,epoll_ctl
888,close
889,close
890,close
891,close
892,write
893,write
894,openat
895,write
896,write
897,openat
898,fstat
899,write
900,close
901,openat
902,write
903,write
904,openat
905,fstat
906,write
907,close
908,openat
909,write
910,write
911,openat
912,fstat
913,write
914,close
915,futex
916,futex
917,futex
918,futex
919,futex
920,futex
921,futex
922,futex
923,write
924,write
925,futex
926,madvise
927,exit
928,futex
929,futex
930,futex
931,munmap
932,statfs
933,write
934,write
935,write
936,write
937,write
938,write
939,fcntl
940,close
941,close
942,close
943,close
944,fcntl
945,close
946,close
947,close
948,close
949,fcntl
950,close
951,close
952,close
953,close
954,fcntl
955,close
956,close
957,close
958,close
959,fstatat
960,unlinkat
961,munmap
962,write
963,write
964,close
965,openat
966,fcntl
967,fcntl
968,read
969,lseek
970,write
971,pwrite
972,fdatasync
973,close
974,munmap
975,munmap
976,getpid
977,openat
978,read
979,close
980,openat
981,fstatat
982,openat
983,openat
984,openat
985,fstat
986,getdents
987,fstatat
988,fstatat
989,fstatat
990,fstatat
991,fstatat
992,fstatat
993,fstatat
994,fstatat
995,fstatat
996,fstatat
997,fstatat
998,fstatat
999,fstatat
1000,fstatat
1001,fstatat
1002,fstatat
1003,fstatat
1004,getdents
1005,close
1006,close
1007,close
1008,exit_group
