,name
0,brk
1,access
2,openat
3,stat
4,openat
5,stat
6,openat
7,stat
8,openat
9,stat
10,openat
11,stat
12,openat
13,stat
14,openat
15,stat
16,openat
17,stat
18,openat
19,openat
20,stat
21,openat
22,stat
23,openat
24,stat
25,openat
26,stat
27,openat
28,stat
29,openat
30,stat
31,openat
32,stat
33,openat
34,read
35,fstat
36,mmap2
37,mmap2
38,mprotect
39,mmap2
40,mmap2
41,close
42,openat
43,openat
44,stat
45,openat
46,stat
47,openat
48,stat
49,openat
50,stat
51,openat
52,stat
53,openat
54,stat
55,openat
56,stat
57,openat
58,stat
59,writev
60,exit_group
