,name
0,arch_prctl
1,set_tid_address
2,brk
3,brk
4,open
5,read
6,brk
7,mmap2
8,mprotect
9,brk
10,readlink
11,open
12,open
13,open
14,brk
15,brk
16,brk
17,sched_getaffinity
18,faccessat
19,faccessat
20,faccessat
21,faccessat
22,faccessat
23,faccessat
24,uname
25,sched_getaffinity
26,openat
27,read
28,read
29,close
30,open
31,brk
32,read
33,read
34,close
35,openat
36,read
37,close
38,openat
39,fstat
40,fcntl
41,fcntl
42,getdents
43,faccessat
44,getdents
45,close
46,openat
47,read
48,close
49,openat
50,read
51,close
52,openat
53,openat
54,read
55,close
56,openat
57,read
58,close
59,openat
60,openat
61,openat
62,read
63,close
64,openat
65,read
66,close
67,openat
68,read
69,close
70,openat
71,read
72,close
73,openat
74,read
75,close
76,openat
77,read
78,close
79,openat
80,read
81,close
82,openat
83,read
84,close
85,openat
86,read
87,close
88,openat
89,read
90,close
91,openat
92,read
93,close
94,openat
95,read
96,close
97,openat
98,read
99,close
100,openat
101,read
102,close
103,openat
104,read
105,close
106,openat
107,read
108,close
109,openat
110,read
111,close
112,openat
113,read
114,close
115,openat
116,read
117,close
118,openat
119,read
120,close
121,openat
122,read
123,close
124,openat
125,read
126,close
127,openat
128,read
129,close
130,openat
131,read
132,close
133,openat
134,openat
135,openat
136,openat
137,openat
138,openat
139,openat
140,stat
141,openat
142,read
143,close
144,openat
145,fstat
146,fcntl
147,fcntl
148,close
149,openat
150,read
151,close
152,openat
153,read
154,close
155,openat
156,read
157,close
158,openat
159,openat
160,openat
161,openat
162,openat
163,openat
164,openat
165,read
166,close
167,openat
168,read
169,close
170,openat
171,read
172,close
173,openat
174,read
175,close
176,openat
177,read
178,close
179,openat
180,read
181,close
182,openat
183,read
184,close
185,openat
186,read
187,close
188,openat
189,read
190,close
191,sched_getaffinity
192,openat
193,read
194,close
195,sched_getaffinity
196,sched_getaffinity
197,sched_setaffinity
198,sched_setaffinity
199,rt_sigaction
200,clock_getres
201,epoll_create1
202,pipe2
203,write
204,pipe2
205,eventfd2
206,rt_sigprocmask
207,read
208,rt_sigprocmask
209,rt_sigaction
210,write
211,rt_sigprocmask
212,rt_sigprocmask
213,read
214,rt_sigaction
215,write
216,rt_sigprocmask
217,rt_sigprocmask
218,read
219,rt_sigaction
220,write
221,rt_sigprocmask
222,rt_sigprocmask
223,read
224,rt_sigaction
225,write
226,rt_sigprocmask
227,rt_sigprocmask
228,fork
229,rt_sigprocmask
230,rt_sigprocmask
231,read
232,rt_sigaction
233,write
234,rt_sigprocmask
235,rt_sigprocmask
236,read
237,rt_sigaction
238,write
239,rt_sigprocmask
240,rt_sigprocmask
241,read
242,rt_sigaction
243,write
244,rt_sigprocmask
245,rt_sigprocmask
246,gettid
247,rt_sigprocmask
248,close
249,close
250,pipe2
251,write
252,setsid
253,chdir
254,read
255,rt_sigaction
256,write
257,rt_sigprocmask
258,socket
259,sendto
260,recvfrom
261,recvfrom
262,recvfrom
263,sendto
264,close
265,close
266,close
267,exit_group
268,recvfrom
269,recvfrom
270,recvfrom
271,close
272,brk
273,brk
274,brk
275,brk
276,brk
277,brk
278,brk
279,brk
280,brk
281,brk
282,brk
283,brk
284,brk
285,brk
286,brk
287,brk
288,brk
289,brk
290,brk
291,brk
292,brk
293,brk
294,brk
295,brk
296,brk
297,brk
298,getuid
299,geteuid
300,getgid
301,getegid
302,open
303,brk
304,brk
305,brk
306,brk
307,brk
308,brk
309,brk
310,brk
311,brk
312,brk
313,brk
314,brk
315,eventfd2
316,epoll_ctl
317,epoll_ctl
318,ioctl
319,epoll_ctl
320,brk
321,brk
322,brk
323,brk
324,brk
325,brk
326,brk
327,brk
328,brk
329,brk
330,open
331,fcntl
332,read
333,close
334,open
335,fcntl
336,read
337,close
338,uname
339,brk
340,eventfd2
341,epoll_ctl
342,epoll_ctl
343,ioctl
344,epoll_ctl
345,rt_sigprocmask
346,mmap2
347,mprotect
348,rt_sigprocmask
349,clone
350,rt_sigprocmask
351,brk
352,rt_sigprocmask
353,brk
354,getpid
355,getrandom
356,read
357,write
358,write
359,rt_sigreturn
