,name
0,brk
1,access
2,openat
3,openat
4,stat
5,openat
6,stat
7,openat
8,stat
9,openat
10,stat
11,openat
12,stat
13,openat
14,stat
15,openat
16,stat
17,openat
18,read
19,fstat
20,mmap2
21,mmap2
22,mprotect
23,mmap2
24,close
25,openat
26,read
27,fstat
28,mmap2
29,mprotect
30,mmap2
31,mmap2
32,close
33,openat
34,read
35,fstat
36,mmap2
37,mprotect
38,mmap2
39,mmap2
40,close
41,mmap2
42,arch_prctl
43,mprotect
44,mprotect
45,mprotect
46,mprotect
47,mprotect
48,set_tid_address
49,set_robust_list
50,rt_sigaction
51,rt_sigaction
52,rt_sigprocmask
53,prlimit64
54,openat
55,read
56,close
57,futex
58,futex
59,brk
60,brk
61,openat
62,read
63,close
64,mmap2
65,brk
66,mmap2
67,brk
68,mlock
69,openat
70,fstat
71,fstat
72,read
73,lseek
74,read
75,close
76,futex
77,futex
78,futex
79,futex
80,futex
81,brk
82,futex
83,futex
84,futex
85,futex
86,futex
87,futex
88,futex
89,futex
90,openat
91,futex
92,futex
93,sysinfo
94,futex
95,getpid
96,mmap2
97,socketpair
98,fcntl
99,fcntl
100,fcntl
101,fcntl
102,socketpair
103,fcntl
104,fcntl
105,fcntl
106,fcntl
107,brk
108,brk
109,brk
110,brk
111,brk
112,brk
113,brk
114,brk
115,close
116,close
117,close
118,close
119,munmap
120,stat
121,openat
122,lseek
123,stat
124,stat
125,stat
126,stat
127,stat
128,stat
129,lseek
130,lseek
131,lseek
132,lseek
133,lseek
134,lseek
135,lseek
136,stat
137,stat
138,stat
139,stat
140,stat
141,stat
142,stat
143,lseek
144,lseek
145,lseek
146,lseek
147,lseek
148,lseek
149,lseek
150,lseek
151,write
152,lseek
153,lseek
154,write
155,lseek
156,stat
157,stat
158,stat
159,stat
160,stat
161,stat
162,stat
163,lseek
164,lseek
165,lseek
166,lseek
167,lseek
168,lseek
169,lseek
170,lseek
171,write
172,lseek
173,fstat
174,write
175,lseek
176,write
177,lseek
178,write
179,lseek
180,write
181,lseek
182,write
183,lseek
184,write
185,lseek
186,write
187,lseek
188,write
189,lseek
190,write
191,lseek
192,write
193,lseek
194,write
195,lseek
196,write
197,lseek
198,write
199,lseek
200,write
201,lseek
202,write
203,mmap2
204,stat
205,stat
206,stat
207,mkdir
208,stat
209,stat
210,stat
211,stat
212,stat
213,stat
214,stat
215,stat
216,lseek
217,lseek
218,lseek
219,lseek
220,lseek
221,lseek
222,lseek
223,lseek
224,write
225,lseek
226,write
227,stat
228,stat
229,stat
230,mkdir
231,stat
232,stat
233,stat
234,openat
235,read
236,close
237,lseek
238,write
239,lseek
240,write
241,openat
242,read
243,close
244,openat
245,write
246,mmap2
247,munmap
248,close
249,lstat
250,unlink
251,getpid
252,mmap2
253,mmap2
254,openat
255,fcntl
256,lseek
257,ftruncate
258,mmap2
259,openat
260,fstatfs
261,uname
262,pread
263,pwrite
264,mmap2
265,madvise
266,openat
267,fcntl
268,munmap
269,mmap2
270,madvise
271,lseek
272,writev
273,pwrite
274,fcntl
275,mmap2
276,mmap2
277,mmap2
278,getpid
279,getpid
280,lseek
281,writev
282,pwrite
283,mmap2
284,mprotect
285,clone
286,set_robust_list
287,mmap2
288,brk
289,mmap2
290,mmap2
291,munmap
292,munmap
293,mprotect
294,mmap2
295,futex
296,futex
297,futex
298,futex
299,futex
300,futex
301,madvise
302,exit
303,futex
304,fdatasync
305,munmap
306,munmap
307,munmap
308,close
309,close
310,getpid
311,munmap
312,close
313,munmap
314,lseek
315,write
316,lseek
317,write
318,munlock
319,munmap
320,munmap
321,exit_group
