,name
0,brk
1,access
2,openat
3,openat
4,stat
5,openat
6,stat
7,openat
8,stat
9,openat
10,stat
11,openat
12,stat
13,openat
14,stat
15,openat
16,stat
17,openat
18,read
19,fstat
20,mmap2
21,mmap2
22,mprotect
23,mmap2
24,mmap2
25,close
26,openat
27,read
28,fstat
29,mmap2
30,mprotect
31,mmap2
32,close
33,openat
34,read
35,fstat
36,mmap2
37,mprotect
38,mmap2
39,close
40,openat
41,read
42,fstat
43,mmap2
44,mprotect
45,mmap2
46,close
47,openat
48,read
49,fstat
50,mmap2
51,mprotect
52,mmap2
53,mmap2
54,close
55,mmap2
56,arch_prctl
57,mprotect
58,mprotect
59,mprotect
60,mprotect
61,mprotect
62,mprotect
63,mprotect
64,set_tid_address
65,set_robust_list
66,rt_sigaction
67,rt_sigaction
68,rt_sigprocmask
69,prlimit64
70,brk
71,brk
72,futex
73,futex
74,openat
75,read
76,close
77,getpid
78,getpid
79,openat
80,fstat
81,poll
82,read
83,close
84,getuid
85,getpid
86,getpid
87,getpid
88,brk
89,stat
90,stat
91,mkdir
92,stat
93,openat
94,openat
95,fstat
96,fstat
97,read
98,lseek
99,read
100,close
101,umask
102,rt_sigaction
103,rt_sigaction
104,rt_sigaction
105,rt_sigaction
106,prlimit64
107,openat
108,read
109,read
110,close
111,mlock
112,getpid
113,munlock
114,mmap2
115,mmap2
116,mmap2
117,mmap2
118,munmap
119,munmap
120,munmap
121,mlock
122,getpid
123,openat
124,read
125,close
126,getpid
127,munlock
128,futex
129,stat
130,openat
131,lseek
132,close
133,openat
134,fcntl
135,getpid
136,openat
137,fstat
138,write
139,close
140,openat
141,openat
142,lseek
143,write
144,write
145,write
146,write
147,write
148,write
149,write
150,write
151,mmap2
152,mprotect
153,clone
154,set_robust_list
155,mmap2
156,munmap
157,munmap
158,mprotect
159,prctl
160,write
161,getuid
162,geteuid
163,getgid
164,getegid
165,getuid
166,geteuid
167,getgid
168,getegid
169,epoll_create1
170,getuid
171,geteuid
172,getgid
173,getegid
174,pipe2
175,getuid
176,geteuid
177,getgid
178,getegid
179,eventfd2
180,epoll_ctl
181,socket
182,bind
183,getsockname
184,sendto
185,recvmsg
