,name
0,arch_prctl
1,set_tid_address
2,brk
3,brk
4,brk
5,brk
6,brk
7,brk
8,brk
9,brk
10,brk
11,brk
12,brk
13,brk
14,brk
15,brk
16,brk
17,brk
18,brk
19,brk
20,brk
21,brk
22,brk
23,brk
24,brk
25,brk
26,brk
27,brk
28,brk
29,brk
30,brk
31,brk
32,brk
33,brk
34,brk
35,brk
36,brk
37,brk
38,brk
39,brk
40,brk
41,brk
42,brk
43,brk
44,getuid
45,geteuid
46,getgid
47,getegid
48,open
49,brk
50,brk
51,brk
52,brk
53,brk
54,brk
55,brk
56,brk
57,brk
58,brk
59,brk
60,open
61,brk
62,read
63,mmap2
64,mprotect
65,brk
66,readlink
67,open
68,open
69,fstat
70,mmap2
71,close
72,ioctl
73,writev
74,brk
75,brk
76,sched_getaffinity
77,faccessat
78,faccessat
79,faccessat
80,faccessat
81,faccessat
82,faccessat
83,uname
84,sched_getaffinity
85,openat
86,read
87,read
88,close
89,open
90,brk
91,read
92,read
93,close
94,openat
95,read
96,close
97,openat
98,fstat
99,fcntl
100,fcntl
101,getdents
102,faccessat
103,getdents
104,close
105,openat
106,read
107,close
108,openat
109,read
110,close
111,openat
112,openat
113,read
114,close
115,openat
116,read
117,close
118,openat
119,read
120,close
121,openat
122,read
123,close
124,openat
125,read
126,close
127,openat
128,read
129,close
130,openat
131,read
132,close
133,openat
134,read
135,close
136,openat
137,read
138,close
139,openat
140,read
141,close
142,openat
143,read
144,close
145,openat
146,read
147,close
148,openat
149,read
150,close
151,openat
152,read
153,close
154,openat
155,read
156,close
157,openat
158,read
159,close
160,openat
161,read
162,close
163,openat
164,read
165,close
166,openat
167,read
168,close
169,openat
170,read
171,close
172,openat
173,read
174,close
175,openat
176,read
177,close
178,openat
179,read
180,close
181,openat
182,read
183,close
184,openat
185,read
186,close
187,openat
188,read
189,close
190,openat
191,openat
192,openat
193,openat
194,openat
195,openat
196,stat
197,openat
198,read
199,close
200,openat
201,fstat
202,fcntl
203,fcntl
204,close
205,openat
206,read
207,close
208,openat
209,read
210,close
211,openat
212,read
213,close
214,openat
215,openat
216,openat
217,openat
218,openat
219,openat
220,openat
221,read
222,close
223,openat
224,read
225,close
226,openat
227,read
228,close
229,openat
230,read
231,close
232,openat
233,read
234,close
235,openat
236,read
237,close
238,openat
239,read
240,close
241,openat
242,read
243,close
244,openat
245,read
246,close
247,openat
248,sched_getaffinity
249,open
250,read
251,close
252,sched_getaffinity
253,sched_getaffinity
254,sched_setaffinity
255,sched_setaffinity
256,sched_getaffinity
257,writev
258,close
259,rt_sigprocmask
260,rt_sigprocmask
261,rt_sigprocmask
262,rt_sigprocmask
263,exit_group
