,name
0,brk
1,access
2,openat
3,openat
4,stat
5,openat
6,stat
7,openat
8,stat
9,openat
10,stat
11,openat
12,stat
13,openat
14,stat
15,openat
16,stat
17,openat
18,read
19,fstat
20,mmap2
21,mmap2
22,mprotect
23,mmap2
24,mmap2
25,close
26,openat
27,read
28,fstat
29,mmap2
30,mprotect
31,mmap2
32,close
33,openat
34,read
35,fstat
36,mmap2
37,mprotect
38,mmap2
39,close
40,openat
41,read
42,fstat
43,mmap2
44,mprotect
45,mmap2
46,close
47,openat
48,read
49,fstat
50,mmap2
51,mprotect
52,mmap2
53,mmap2
54,close
55,mmap2
56,arch_prctl
57,mprotect
58,mprotect
59,mprotect
60,mprotect
61,mprotect
62,mprotect
63,mprotect
64,set_tid_address
65,set_robust_list
66,rt_sigaction
67,rt_sigaction
68,rt_sigprocmask
69,prlimit64
70,brk
71,brk
72,futex
73,futex
74,futex
75,futex
76,mmap2
77,mmap2
78,brk
79,openat
80,fstat
81,getdents
82,openat
83,openat
84,openat
85,openat
86,openat
87,openat
88,openat
89,openat
90,openat
91,openat
92,openat
93,openat
94,openat
95,openat
96,openat
97,openat
98,openat
99,openat
100,openat
101,openat
102,openat
103,openat
104,openat
105,openat
106,openat
107,openat
108,openat
109,openat
110,openat
111,openat
112,openat
113,openat
114,openat
115,openat
116,openat
117,openat
118,openat
119,openat
120,openat
121,openat
122,openat
123,openat
124,openat
125,openat
126,openat
127,openat
128,openat
129,openat
130,openat
131,openat
132,openat
133,openat
134,openat
135,openat
136,openat
137,fstat
138,read
139,close
140,openat
141,fstat
142,read
143,close
144,openat
145,fstat
146,read
147,close
148,openat
149,fstat
150,read
151,close
152,openat
153,fstat
154,read
155,close
156,openat
157,fstat
158,read
159,close
160,openat
161,fstat
162,read
163,close
164,openat
165,fstat
166,read
167,close
168,openat
169,fstat
170,read
171,close
172,openat
173,fstat
174,read
175,close
176,openat
177,fstat
178,read
179,close
180,openat
181,fstat
182,read
183,close
184,openat
185,fstat
186,read
187,close
188,openat
189,fstat
190,read
191,close
192,openat
193,fstat
194,read
195,close
196,openat
197,fstat
198,read
199,close
200,openat
201,fstat
202,read
203,close
204,openat
205,fstat
