,name
0,arch_prctl
1,sched_getaffinity
2,openat
3,uname
4,mmap2
5,mmap2
6,mmap2
7,mmap2
8,mmap2
9,mmap2
10,mmap2
11,mmap2
12,mmap2
13,mmap2
14,mmap2
15,mmap2
16,mmap2
17,mmap2
18,mmap2
19,mmap2
20,mmap2
21,mmap2
22,rt_sigprocmask
23,sigaltstack
24,sigaltstack
25,rt_sigprocmask
26,gettid
27,rt_sigaction
28,rt_sigaction
29,rt_sigaction
30,rt_sigaction
31,rt_sigaction
32,rt_sigaction
33,rt_sigaction
34,rt_sigaction
35,rt_sigaction
36,rt_sigaction
37,rt_sigaction
38,rt_sigaction
39,rt_sigaction
40,rt_sigaction
41,rt_sigaction
42,rt_sigaction
43,rt_sigaction
44,rt_sigaction
45,rt_sigaction
46,rt_sigaction
47,rt_sigaction
48,rt_sigaction
49,rt_sigaction
50,rt_sigaction
51,rt_sigaction
52,rt_sigaction
53,rt_sigaction
54,rt_sigaction
55,rt_sigaction
56,rt_sigaction
57,rt_sigaction
58,rt_sigaction
59,rt_sigaction
60,rt_sigaction
61,rt_sigaction
62,rt_sigaction
63,rt_sigaction
64,rt_sigaction
65,rt_sigaction
66,rt_sigaction
67,rt_sigaction
68,rt_sigaction
69,rt_sigaction
70,rt_sigaction
71,rt_sigaction
72,rt_sigaction
73,rt_sigaction
74,rt_sigaction
75,rt_sigaction
76,rt_sigaction
77,rt_sigaction
78,rt_sigaction
79,rt_sigaction
80,rt_sigaction
81,rt_sigaction
82,rt_sigaction
83,rt_sigaction
84,rt_sigaction
85,rt_sigaction
86,rt_sigaction
87,rt_sigaction
88,rt_sigaction
89,rt_sigaction
90,rt_sigaction
91,rt_sigaction
92,rt_sigaction
93,rt_sigaction
94,rt_sigaction
95,rt_sigaction
96,rt_sigaction
97,rt_sigaction
98,rt_sigaction
99,rt_sigaction
100,rt_sigaction
101,rt_sigaction
102,rt_sigaction
103,rt_sigaction
104,rt_sigaction
105,rt_sigaction
106,rt_sigaction
107,rt_sigaction
108,rt_sigaction
109,rt_sigaction
110,rt_sigaction
111,rt_sigaction
112,rt_sigaction
113,rt_sigaction
114,rt_sigaction
115,rt_sigaction
116,rt_sigaction
117,rt_sigaction
118,rt_sigaction
119,rt_sigaction
120,rt_sigaction
121,rt_sigaction
122,rt_sigaction
123,rt_sigaction
124,rt_sigaction
125,rt_sigaction
126,rt_sigaction
127,rt_sigaction
128,rt_sigaction
129,rt_sigaction
130,rt_sigaction
131,rt_sigaction
132,rt_sigaction
133,rt_sigaction
134,rt_sigaction
135,rt_sigaction
136,rt_sigaction
137,rt_sigaction
138,rt_sigaction
139,rt_sigaction
140,rt_sigprocmask
141,clone
142,rt_sigprocmask
143,gettid
144,rt_sigprocmask
145,clone
146,rt_sigprocmask
147,arch_prctl
148,sigaltstack
149,sigaltstack
150,rt_sigprocmask
151,gettid
152,gettid
153,arch_prctl
154,sigaltstack
155,sigaltstack
156,rt_sigprocmask
157,gettid
158,nanosleep
159,futex
160,futex
161,rt_sigprocmask
162,clone
163,rt_sigprocmask
164,gettid
165,arch_prctl
166,nanosleep
167,sigaltstack
168,sigaltstack
169,rt_sigprocmask
170,gettid
171,futex
172,futex
173,nanosleep
174,nanosleep
175,nanosleep
176,nanosleep
177,getpid
178,tgkill
179,rt_sigreturn
180,futex
181,futex
182,futex
183,nanosleep
184,readlinkat
185,nanosleep
186,futex
187,futex
188,fcntl
189,mmap2
190,fcntl
191,fcntl
192,nanosleep
193,nanosleep
194,nanosleep
195,getpid
196,tgkill
197,nanosleep
198,rt_sigreturn
199,futex
200,futex
201,futex
202,nanosleep
203,nanosleep
204,nanosleep
205,nanosleep
206,getpid
207,tgkill
208,rt_sigreturn
209,futex
210,futex
211,futex
212,nanosleep
213,nanosleep
214,nanosleep
215,openat
216,nanosleep
217,futex
218,futex
219,epoll_create1
220,pipe2
221,epoll_ctl
222,nanosleep
223,getpid
224,tgkill
225,rt_sigreturn
226,futex
227,futex
228,futex
229,epoll_ctl
230,fcntl
231,fcntl
232,nanosleep
233,epoll_pwait
234,read
235,nanosleep
236,epoll_ctl
237,close
238,openat
239,epoll_ctl
240,nanosleep
241,fcntl
242,fcntl
243,read
244,read
245,epoll_ctl
246,close
247,fstatat
248,nanosleep
249,epoll_pwait
250,futex
251,futex
252,fstatat
253,fstatat
254,fstatat
255,nanosleep
256,getpid
257,tgkill
258,rt_sigreturn
259,futex
260,futex
261,futex
262,nanosleep
263,nanosleep
264,epoll_pwait
265,nanosleep
266,futex
267,futex
268,nanosleep
269,epoll_pwait
270,getpid
271,tgkill
272,rt_sigreturn
273,nanosleep
274,getpid
275,tgkill
276,rt_sigreturn
277,openat
278,epoll_ctl
279,epoll_ctl
280,read
281,read
282,close
283,nanosleep
284,openat
285,epoll_ctl
286,epoll_ctl
287,fstat
288,read
289,read
290,read
291,nanosleep
292,epoll_pwait
293,uname
294,close
295,fstatat
296,fstatat
297,openat
298,epoll_ctl
299,epoll_ctl
300,nanosleep
301,read
302,read
303,read
304,close
305,nanosleep
306,getpid
307,tgkill
308,rt_sigreturn
309,nanosleep
310,epoll_pwait
311,getpid
312,tgkill
313,rt_sigreturn
314,socket
315,setsockopt
316,nanosleep
317,connect
318,epoll_ctl
319,getsockname
320,getpeername
321,nanosleep
322,write
323,nanosleep
324,epoll_pwait
325,futex
326,futex
327,socket
328,setsockopt
329,connect
330,epoll_ctl
331,getsockname
332,getpeername
333,write
334,read
335,epoll_pwait
336,nanosleep
337,futex
338,futex
339,sched_yield
340,futex
341,futex
342,futex
343,read
344,nanosleep
345,epoll_pwait
346,futex
347,read
348,epoll_ctl
349,close
350,futex
351,epoll_pwait
352,nanosleep
353,epoll_pwait
354,futex
355,futex
356,sched_yield
357,futex
358,futex
359,futex
360,read
361,epoll_ctl
362,close
363,socket
364,connect
365,nanosleep
366,epoll_ctl
367,epoll_pwait
368,nanosleep
369,epoll_pwait
370,futex
371,futex
372,sched_yield
373,futex
374,futex
375,futex
376,getsockopt
377,getpeername
378,getsockname
379,setsockopt
380,setsockopt
381,setsockopt
382,setsockopt
383,nanosleep
384,futex
385,futex
386,futex
387,futex
388,read
389,nanosleep
390,nanosleep
391,epoll_pwait
392,write
393,futex
394,futex
395,futex
396,futex
397,epoll_pwait
398,nanosleep
399,futex
400,futex
401,futex
402,futex
403,futex
404,epoll_pwait
405,futex
406,futex
407,epoll_ctl
408,close
409,nanosleep
410,futex
411,futex
412,nanosleep
413,futex
414,futex
415,fstatat
416,fstatat
417,socket
