,name
0,brk
1,access
2,openat
3,openat
4,stat
5,openat
6,stat
7,openat
8,stat
9,openat
10,stat
11,openat
12,stat
13,openat
14,stat
15,openat
16,stat
17,openat
18,read
19,fstat
20,mmap2
21,mmap2
22,mprotect
23,mmap2
24,mmap2
25,close
26,openat
27,read
28,fstat
29,mmap2
30,mprotect
31,mmap2
32,close
33,openat
34,read
35,fstat
36,mmap2
37,mprotect
38,mmap2
39,close
40,openat
41,read
42,fstat
43,mmap2
44,mprotect
45,mmap2
46,mmap2
47,close
48,mmap2
49,arch_prctl
50,mprotect
51,mprotect
52,mprotect
53,mprotect
54,mprotect
55,mprotect
56,set_tid_address
57,set_robust_list
58,rt_sigaction
59,rt_sigaction
60,rt_sigprocmask
61,prlimit64
62,brk
63,brk
64,openat
65,read
66,mmap2
67,mprotect
68,futex
69,futex
70,readlink
71,openat
72,openat
73,fstat
74,fstat
75,read
76,lseek
77,read
78,close
79,fstat
80,write
81,openat
82,write
83,openat
84,write
85,write
86,close
87,exit_group
