,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 84943, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f1370c8e000
2,analyzed_bin,mmap2,108,"0x7f1370c8e000, 84577, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7f1370c8e000
3,analyzed_bin,mprotect,108,"0x7f1370ca2000, 3023, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffdf0604b30, 4095",18
5,analyzed_bin,mmap2,108,"0x400000, 172032, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
6,analyzed_bin,mmap2,108,"0x400000, 544, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
7,analyzed_bin,mprotect,108,"0x400000, 544, PROT_READ",0
8,analyzed_bin,mmap2,108,"0x401000, 103225, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 4096",0x401000
9,analyzed_bin,mprotect,108,"0x401000, 103225, PROT_READ|PROT_EXEC",0
10,analyzed_bin,mmap2,108,"0x41b000, 29684, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 110592",0x41b000
11,analyzed_bin,mprotect,108,"0x41b000, 29684, PROT_READ",0
12,analyzed_bin,mmap2,108,"0x423000, 14584, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 139264",0x423000
13,analyzed_bin,mprotect,108,"0x423000, 14584, PROT_READ|PROT_WRITE",0
14,analyzed_bin,mmap2,108,"0x427000, 9344, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x427000
15,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7f1370c8d000
16,analyzed_bin,close,108,3,0
17,analyzed_bin,munmap,108,"0x7f1370c8e000, 84943",0
18,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 4362840",0
19,analyzed_bin,set_tid_address,108,0x429298,108
20,analyzed_bin,exit_group,108,0,
