,execname,name,pid,arguments,return
0,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 9482912",0
1,analyzed_bin,set_tid_address,108,0x90b3b0,108
2,analyzed_bin,brk,108,0x0,9486336
3,analyzed_bin,brk,108,0x90e000,9494528
4,analyzed_bin,mmap2,108,"0x90c000, 4096, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x90c000
5,analyzed_bin,mmap2,108,"0x0, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f5aef334000
6,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f5aef333000
7,analyzed_bin,open,108,"""/dev/urandom"", O_RDONLY|O_LARGEFILE",3
8,analyzed_bin,read,108,"3, 0x7ffdf9cc9b7c, 4",4
9,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f5aef31f000
10,analyzed_bin,mprotect,108,"0x7f5aef31f000, 81920, PROT_READ|PROT_EXEC",0
11,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f5aef31e000
12,analyzed_bin,mmap2,108,"0x0, 73728, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f5aef30c000
13,analyzed_bin,unlink,108,"""/root/analyzed_bin""",0
14,4fQzZ06W,prctl,108,"PR_SET_NAME, 0x7ffdf9cc9b38",0
15,4fQzZ06W,readlink,108,"""/proc/self/exe"", 0x87cde0, 519",28
16,4fQzZ06W,open,108,"""/root/config.json"", O_RDONLY|O_LARGEFILE",-2 (ENOENT)
17,4fQzZ06W,open,108,"""/etc/localtime"", O_RDONLY|O_NONBLOCK|O_LARGEFILE|O_CLOEXEC",4
18,4fQzZ06W,fstat,108,"4, 0x7ffdf9cc9500",0
19,4fQzZ06W,mmap2,108,"0x0, 127, PROT_READ, MAP_SHARED, 4, 0",0x7f5aef30b000
20,4fQzZ06W,close,108,4,0
