,execname,name,pid,arguments,return
0,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 6665320",0
1,analyzed_bin,set_tid_address,108,0x65b4a0,108
2,analyzed_bin,brk,108,0x0,6668288
3,analyzed_bin,brk,108,0x66e000,6742016
4,analyzed_bin,brk,108,0x670000,6750208
5,analyzed_bin,mmap2,108,"0x0, 2097152, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_POPULATE|MAP_HUGETLB, 0, 0",-22 (EINVAL)
6,analyzed_bin,open,108,"""/etc/localtime"", O_RDONLY|O_NONBLOCK|O_CLOEXEC",3
7,analyzed_bin,fstat,108,"3, 0x7ffef745b6c0",0
8,analyzed_bin,mmap2,108,"0x0, 127, PROT_READ, MAP_SHARED, 3, 0",0x7f33a6b9e000
9,analyzed_bin,close,108,3,0
10,analyzed_bin,ioctl,108,"1, 21523, 0x7ffef745b8a8",-25 (ENOTTY)
11,analyzed_bin,writev,108,"1, 0x7ffef745b840, 2",57
12,analyzed_bin,mmap2,108,"0x0, 4198400, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f33a679d000
13,analyzed_bin,brk,108,0x672000,6758400
14,analyzed_bin,mmap2,108,"0x0, 2097152, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_POPULATE|MAP_HUGETLB, 0, 0",-22 (EINVAL)
15,analyzed_bin,mmap2,108,"0x0, 4198400, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f33a639c000
16,analyzed_bin,munmap,108,"0x7f33a679d000, 4198400",0
17,analyzed_bin,munmap,108,"0x7f33a639c000, 4198400",0
18,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffef745ba50",8
19,analyzed_bin,rt_sigprocmask,108,"SIG_UNBLOCK, [EMPTY], 0x0, 8",0
20,analyzed_bin,mmap2,108,"0x0, 90112, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f33a6b88000
21,analyzed_bin,mprotect,108,"0x7f33a6b89000, 86016, PROT_READ|PROT_WRITE",0
