,execname,name,pid,arguments,return
0,analyzed_bin,uname,108,0x7ffca1d5cca0,0
1,analyzed_bin,brk,108,0x0,9265152
2,analyzed_bin,brk,108,0x8d7200,9269760
3,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 9267392",0
4,analyzed_bin,set_tid_address,108,0x8d6b90,108
5,analyzed_bin,set_robust_list,108,"0x8d6ba0, 24",0
6,analyzed_bin,rt_sigaction,108,"0x20, {0x4dc460, SA_SIGINFO|SA_RESTORER, 0x4dbb30, [EMPTY]}, 0x0, 8",0
7,analyzed_bin,rt_sigaction,108,"0x21, {0x4dc4f0, SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x4dbb30, [EMPTY]}, 0x0, 8",0
8,analyzed_bin,rt_sigprocmask,108,"SIG_UNBLOCK, [EMPTY], 0x0, 8",0
9,analyzed_bin,getrlimit,108,"RLIMIT_STACK, 0x7ffca1d5cd90",0
10,analyzed_bin,readlink,108,"0x654296, 0x7ffca1d5bdd0, 4096",18
11,analyzed_bin,brk,108,0x8f8200,9404928
12,analyzed_bin,brk,108,0x8f9000,9408512
13,analyzed_bin,access,108,"0x67881e, F_OK",-2 (ENOENT)
14,analyzed_bin,time,108,0x0,1657785990
15,analyzed_bin,time,108,0x0,1657785990
16,analyzed_bin,open,108,"""/sys/devices/system/cpu/online"", O_RDONLY|O_CLOEXEC",3
17,analyzed_bin,read,108,"3, 0x7ffca1d5ac80, 8192",2
18,analyzed_bin,close,108,3,0
19,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x8e9740, 519",18
20,analyzed_bin,futex,108,"0x8d0fac, FUTEX_WAKE_PRIVATE, 2147483647",0
21,analyzed_bin,futex,108,"0x8d0fb8, FUTEX_WAKE_PRIVATE, 2147483647",0
22,analyzed_bin,open,108,"""/root/config.json"", O_RDONLY",-2 (ENOENT)
23,analyzed_bin,write,108,"2, ""unable to open \""/root/config.json\"".\n"", 36",36
24,analyzed_bin,brk,108,0x91a000,9543680
25,analyzed_bin,pipe2,108,"[0, 0], O_CLOEXEC",0
26,analyzed_bin,write,108,"4, ""*"", 1",1
27,analyzed_bin,futex,108,"0x8ccd70, FUTEX_WAKE_PRIVATE, 2147483647",0
28,analyzed_bin,clock_getres,108,"CLOCK_MONOTONIC_COARSE, 0x7ffca1d5cce0",0
29,analyzed_bin,clock_gettime,108,"CLOCK_MONOTONIC, 0x7ffca1d5cce0",0
30,analyzed_bin,epoll_create1,108,EPOLL_CLOEXEC,5
31,analyzed_bin,pipe2,108,"[-1, -1], O_NONBLOCK|O_CLOEXEC",0
32,analyzed_bin,eventfd2,108,"0, EFD_NONBLOCK|EFD_CLOEXEC",8
33,analyzed_bin,ioctl,108,"1, 21505, 0x7ffca1d5cbb0",-25 (ENOTTY)
34,analyzed_bin,fstat,108,"1, 0x7ffca1d5cc60",0
35,analyzed_bin,ioctl,108,"0, 21505, 0x7ffca1d5cc00",-25 (ENOTTY)
36,analyzed_bin,fstat,108,"0, 0x7ffca1d5ccb0",0
37,analyzed_bin,rt_sigprocmask,108,"SIG_SETMASK, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS], 0x7ffca1d5cc40, 8",0
38,analyzed_bin,read,108,"3, 0x7ffca1d5cb77, 1",1
39,analyzed_bin,rt_sigaction,108,"SIGHUP, {0x4cb9b0, SA_RESTORER, 0x4dbb30, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
40,analyzed_bin,write,108,"4, ""*"", 1",1
