,execname,name,pid,arguments,return
0,analyzed_bin,brk,108,0x0,16928768
1,analyzed_bin,access,108,"0x7f894ed30ad0, R_OK",-2 (ENOENT)
2,analyzed_bin,openat,108,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
3,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
4,analyzed_bin,stat,108,"""/lib64/tls/x86_64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
5,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
6,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffff3168900",-2 (ENOENT)
7,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
8,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffff3168900",-2 (ENOENT)
9,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
10,analyzed_bin,stat,108,"""/lib64/tls"", 0x7ffff3168900",-2 (ENOENT)
11,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
12,analyzed_bin,stat,108,"""/lib64/x86_64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
13,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
14,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
15,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
16,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
17,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
18,analyzed_bin,stat,108,"""/lib64"", 0x7ffff3168900",0
19,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/x86_64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
20,analyzed_bin,stat,108,"""/usr/lib64/tls/x86_64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
21,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
22,analyzed_bin,stat,108,"""/usr/lib64/tls/x86_64"", 0x7ffff3168900",-2 (ENOENT)
23,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
24,analyzed_bin,stat,108,"""/usr/lib64/tls/x86_64"", 0x7ffff3168900",-2 (ENOENT)
25,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
26,analyzed_bin,stat,108,"""/usr/lib64/tls"", 0x7ffff3168900",-2 (ENOENT)
27,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/x86_64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
28,analyzed_bin,stat,108,"""/usr/lib64/x86_64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
29,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
30,analyzed_bin,stat,108,"""/usr/lib64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
31,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/x86_64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
32,analyzed_bin,stat,108,"""/usr/lib64/x86_64"", 0x7ffff3168900",-2 (ENOENT)
33,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/libzmq.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
34,analyzed_bin,stat,108,"""/usr/lib64"", 0x7ffff3168900",0
35,analyzed_bin,writev,108,"2, 0x7ffff31685b0, 10",129
36,analyzed_bin,exit_group,108,127,
