,execname,name,pid,arguments,return
0,analyzed_bin,brk,108,0x0,94485065027584
1,analyzed_bin,access,108,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
2,analyzed_bin,openat,108,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
3,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
4,analyzed_bin,stat,108,"""/lib64/tls/x86_64/x86_64"", 0x7ffd767a0ff0",-2 (ENOENT)
5,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
6,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffd767a0ff0",-2 (ENOENT)
7,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
8,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffd767a0ff0",-2 (ENOENT)
9,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
10,analyzed_bin,stat,108,"""/lib64/tls"", 0x7ffd767a0ff0",-2 (ENOENT)
11,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
12,analyzed_bin,stat,108,"""/lib64/x86_64/x86_64"", 0x7ffd767a0ff0",-2 (ENOENT)
13,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
14,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffd767a0ff0",-2 (ENOENT)
