,execname,name,pid,arguments,return
0,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 140379985149824",0
1,analyzed_bin,set_tid_address,108,0x7facc32602f0,108
2,analyzed_bin,brk,108,0x0,140379985154048
3,analyzed_bin,brk,108,0x7facc3262000,140379985158144
4,analyzed_bin,open,108,"0x7facc3087aec, O_RDONLY",3
5,analyzed_bin,read,108,"3, 0x7ffcf98df694, 4",4
6,analyzed_bin,brk,108,0x7facc3263000,140379985162240
7,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7facc2bf1000
8,analyzed_bin,mprotect,108,"0x7facc2bf1000, 81920, PROT_READ|PROT_EXEC",0
9,analyzed_bin,brk,108,0x7facc3275000,140379985235968
10,analyzed_bin,brk,108,0x7facc327a000,140379985256448
11,analyzed_bin,brk,108,0x7facc328b000,140379985326080
12,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffcf98df130",8
13,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices"", R_OK|X_OK",0
14,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices/cpu0/topology/package_cpus"", R_OK",-2 (ENOENT)
15,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices/cpu0/topology/core_cpus"", R_OK",-2 (ENOENT)
16,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices/cpu0/topology/core_siblings"", R_OK",0
17,analyzed_bin,faccessat,108,"-1, ""/sys/bus/node/devices"", R_OK|X_OK",-2 (ENOENT)
18,analyzed_bin,faccessat,108,"-1, ""/sys/devices/system/node"", R_OK|X_OK",-2 (ENOENT)
19,analyzed_bin,uname,108,0x7facc3289cf0,0
20,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffcf98def80",8
21,analyzed_bin,openat,108,"-1, ""/proc/cpuinfo"", O_RDONLY",4
22,analyzed_bin,read,108,"4, 0x7facc328a530, 1024",720
23,analyzed_bin,read,108,"4, 0x7facc328a530, 1024",0
24,analyzed_bin,close,108,4,0
25,analyzed_bin,open,108,"""/proc/mounts"", O_RDONLY",4
26,analyzed_bin,brk,108,0x7facc328c000,140379985330176
27,analyzed_bin,brk,108,0x7facc3291000,140379985350656
28,analyzed_bin,read,108,"4, 0x7facc328ad10, 1024",459
29,analyzed_bin,read,108,"4, 0x7facc328ad10, 1024",0
30,analyzed_bin,close,108,4,0
31,analyzed_bin,openat,108,"-1, ""/sys/devices/system/cpu/online"", O_RDONLY",4
32,analyzed_bin,read,108,"4, 0x7facc328ac20, 4097",2
33,analyzed_bin,close,108,4,0
34,analyzed_bin,openat,108,"-1, ""/sys/bus/cpu/devices"", O_RDONLY|O_DIRECTORY",4
35,analyzed_bin,fstat,108,"4, 0x7ffcf98dec40",0
