,execname,name,pid,arguments,return
0,analyzed_bin,brk,108,0x0,94311470985216
1,analyzed_bin,access,108,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
2,analyzed_bin,openat,108,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
3,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
4,analyzed_bin,stat,108,"""/lib64/tls/x86_64/x86_64"", 0x7ffdf4f4ff90",-2 (ENOENT)
5,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
6,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffdf4f4ff90",-2 (ENOENT)
7,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
8,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffdf4f4ff90",-2 (ENOENT)
9,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
10,analyzed_bin,stat,108,"""/lib64/tls"", 0x7ffdf4f4ff90",-2 (ENOENT)
11,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
12,analyzed_bin,stat,108,"""/lib64/x86_64/x86_64"", 0x7ffdf4f4ff90",-2 (ENOENT)
13,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
14,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffdf4f4ff90",-2 (ENOENT)
15,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libm.so.6"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
16,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffdf4f4ff90",-2 (ENOENT)
17,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libm.so.6"", O_RDONLY|O_CLOEXEC",3
18,analyzed_bin,read,108,"3, 0x7ffdf4f500f8, 832",832
19,analyzed_bin,fstat,108,"3, 0x7ffdf4f4ff90",0
20,analyzed_bin,mmap2,108,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f2930287000
21,analyzed_bin,mmap2,108,"0x0, 3653968, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f292fce6000
22,analyzed_bin,mprotect,108,"0x7f292fe62000, 2093056, PROT_NONE",0
23,analyzed_bin,mmap2,108,"0x7f2930061000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 1552384",0x7f2930061000
24,analyzed_bin,close,108,3,0
25,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",3
26,analyzed_bin,read,108,"3, 0x7ffdf4f500c8, 832",832
27,analyzed_bin,fstat,108,"3, 0x7ffdf4f4ff60",0
28,analyzed_bin,mmap2,108,"0x0, 2221216, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f292fac7000
29,analyzed_bin,mprotect,108,"0x7f292fae1000, 2093056, PROT_NONE",0
30,analyzed_bin,mmap2,108,"0x7f292fce0000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 102400",0x7f292fce0000
31,analyzed_bin,mmap2,108,"0x7f292fce2000, 13472, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f292fce2000
32,analyzed_bin,close,108,3,0
33,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libc.so.6"", O_RDONLY|O_CLOEXEC",3
34,analyzed_bin,read,108,"3, 0x7ffdf4f50098, 832",832
35,analyzed_bin,fstat,108,"3, 0x7ffdf4f4ff30",0
36,analyzed_bin,mmap2,108,"0x0, 3885056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f292f712000
37,analyzed_bin,mprotect,108,"0x7f292f8be000, 2093056, PROT_NONE",0
38,analyzed_bin,mmap2,108,"0x7f292fabd000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 1748992",0x7f292fabd000
39,analyzed_bin,mmap2,108,"0x7f292fac3000, 14336, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f292fac3000
40,analyzed_bin,close,108,3,0
41,analyzed_bin,mmap2,108,"0x0, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f2930284000
42,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 139814878332800",0
43,analyzed_bin,mprotect,108,"0x7f292fabd000, 16384, PROT_READ",0
44,analyzed_bin,mprotect,108,"0x7f292fce0000, 4096, PROT_READ",0
45,analyzed_bin,mprotect,108,"0x7f2930061000, 4096, PROT_READ",0
46,analyzed_bin,mprotect,108,"0x55c699ade000, 294912, PROT_READ",0
47,analyzed_bin,mprotect,108,"0x7f2930289000, 4096, PROT_READ",0
48,analyzed_bin,set_tid_address,108,0x7f2930284a50,108
49,analyzed_bin,set_robust_list,108,"0x7f2930284a60, 24",0
50,analyzed_bin,rt_sigaction,108,"0x20, {0x7f292facd2e0, SA_SIGINFO|SA_RESTORER, 0x7f292fad8fe0, [EMPTY]}, 0x0, 8",0
51,analyzed_bin,rt_sigaction,108,"0x21, {0x7f292facd380, SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x7f292fad8fe0, [EMPTY]}, 0x0, 8",0
52,analyzed_bin,rt_sigprocmask,108,"SIG_UNBLOCK, [EMPTY], 0x0, 8",0
53,analyzed_bin,prlimit64,108,"0, RLIMIT_STACK, NULL, 0x7ffdf4f50cb0",0
54,analyzed_bin,openat,108,"AT_FDCWD, 0x55c699746277, O_RDONLY|O_NOCTTY|O_CLOEXEC",3
55,analyzed_bin,read,108,"3, 0x55c699b95f20, 32",32
56,analyzed_bin,close,108,3,0
57,analyzed_bin,futex,108,"0x55c699b9b684, FUTEX_WAKE_PRIVATE, 2147483647",0
58,analyzed_bin,futex,108,"0x55c699b9b690, FUTEX_WAKE_PRIVATE, 2147483647",0
59,analyzed_bin,brk,108,0x0,94311470985216
60,analyzed_bin,brk,108,0x55c699bc0000,94311471120384
61,analyzed_bin,openat,108,"AT_FDCWD, ""/sys/devices/system/cpu/online"", O_RDONLY|O_CLOEXEC",3
62,analyzed_bin,read,108,"3, 0x7ffdf4f4eb80, 8192",2
63,analyzed_bin,close,108,3,0
