,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 810974, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f8826b2b000
2,analyzed_bin,mmap2,108,"0x7f8826b2b000, 810554, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7f8826b2b000
3,analyzed_bin,mprotect,108,"0x7f8826bef000, 8158, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffc02135a40, 4095",18
5,analyzed_bin,mmap2,108,"0x400000, 5439488, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
6,analyzed_bin,mmap2,108,"0x400000, 2702665, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
7,analyzed_bin,mprotect,108,"0x400000, 2702665, PROT_READ|PROT_EXEC",0
8,analyzed_bin,mmap2,108,"0x894000, 51920, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 2703360",0x894000
9,analyzed_bin,mprotect,108,"0x894000, 51920, PROT_READ|PROT_WRITE",0
10,analyzed_bin,mmap2,108,"0x8a1000, 582640, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x8a1000
11,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7f8826b2a000
12,analyzed_bin,close,108,3,0
13,analyzed_bin,munmap,108,"0x7f8826b2b000, 810974",0
14,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 9629856",0
15,analyzed_bin,set_tid_address,108,0x92f3ec,108
16,analyzed_bin,brk,108,0x0,9633792
17,analyzed_bin,brk,108,0x932000,9641984
18,analyzed_bin,mmap2,108,"0x930000, 4096, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x930000
19,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f8826bf0000
20,analyzed_bin,open,108,"""/dev/urandom"", O_RDONLY",3
21,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f8826bef000
22,analyzed_bin,read,108,"3, 0x7ffc021367dc, 4",4
23,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f8826bdb000
24,analyzed_bin,mprotect,108,"0x7f8826bdb000, 81920, PROT_READ|PROT_EXEC",0
