,execname,name,pid,arguments,return
0,analyzed_bin,mmap2,108,"0xa00000, 5230300, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, 0, 0",0xa00000
1,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffe407bd634, 4096",18
2,analyzed_bin,mmap2,108,"0x400000, 5222400, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
3,analyzed_bin,mmap2,108,"0x400000, 3023468, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x400000
4,analyzed_bin,mprotect,108,"0x400000, 3023468, PROT_READ|PROT_EXEC",0
5,analyzed_bin,mmap2,108,"0x8e2000, 47536, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 3022848",0x8e2000
6,analyzed_bin,mprotect,108,"0x8e2000, 47536, PROT_READ|PROT_WRITE",0
7,analyzed_bin,mmap2,108,"0x8ee000, 50992, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x8ee000
8,analyzed_bin,munmap,108,"0xa01000, 5226204",0
9,analyzed_bin,uname,108,0x7ffe407bd1e0,0
10,analyzed_bin,brk,108,0x0,9416704
11,analyzed_bin,brk,108,0x8fc2c0,9421504
12,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 9419136",0
13,analyzed_bin,set_tid_address,108,0x8fbc50,108
14,analyzed_bin,set_robust_list,108,"0x8fbc60, 24",0
15,analyzed_bin,rt_sigaction,108,"0x20, {0x4a10f0, SA_SIGINFO|SA_RESTORER, 0x4a06a0, [EMPTY]}, 0x0, 8",0
16,analyzed_bin,rt_sigaction,108,"0x21, {0x4a1180, SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x4a06a0, [EMPTY]}, 0x0, 8",0
17,analyzed_bin,rt_sigprocmask,108,"SIG_UNBLOCK, [EMPTY], 0x0, 8",0
18,analyzed_bin,getrlimit,108,"RLIMIT_STACK, 0x7ffe407bd2d0",0
