,execname,name,pid,arguments,return
0,analyzed_bin,brk,108,0x0,94715683639296
1,analyzed_bin,access,108,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
2,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/tls/x86_64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
3,analyzed_bin,stat,108,"""/usr/local/lib/tls/x86_64/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
4,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/tls/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
5,analyzed_bin,stat,108,"""/usr/local/lib/tls/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
6,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/tls/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
7,analyzed_bin,stat,108,"""/usr/local/lib/tls/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
8,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/tls/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
9,analyzed_bin,stat,108,"""/usr/local/lib/tls"", 0x7ffc7da0d8e0",-2 (ENOENT)
10,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/x86_64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
11,analyzed_bin,stat,108,"""/usr/local/lib/x86_64/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
12,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
13,analyzed_bin,stat,108,"""/usr/local/lib/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
14,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
15,analyzed_bin,stat,108,"""/usr/local/lib/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
16,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/local/lib/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
17,analyzed_bin,stat,108,"""/usr/local/lib"", 0x7ffc7da0d8e0",-2 (ENOENT)
18,analyzed_bin,openat,108,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
19,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
20,analyzed_bin,stat,108,"""/lib64/tls/x86_64/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
21,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
22,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
23,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
24,analyzed_bin,stat,108,"""/lib64/tls/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
25,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/tls/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
26,analyzed_bin,stat,108,"""/lib64/tls"", 0x7ffc7da0d8e0",-2 (ENOENT)
27,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
28,analyzed_bin,stat,108,"""/lib64/x86_64/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
29,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
30,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
31,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/x86_64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
32,analyzed_bin,stat,108,"""/lib64/x86_64"", 0x7ffc7da0d8e0",-2 (ENOENT)
33,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libpthread.so.0"", O_RDONLY|O_CLOEXEC",3
34,analyzed_bin,read,108,"3, 0x7ffc7da0da48, 832",832
35,analyzed_bin,fstat,108,"3, 0x7ffc7da0d8e0",0
36,analyzed_bin,mmap2,108,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fd30307b000
37,analyzed_bin,mmap2,108,"0x0, 2221216, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7fd302c38000
38,analyzed_bin,mprotect,108,"0x7fd302c52000, 2093056, PROT_NONE",0
39,analyzed_bin,mmap2,108,"0x7fd302e51000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 102400",0x7fd302e51000
40,analyzed_bin,mmap2,108,"0x7fd302e53000, 13472, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fd302e53000
41,analyzed_bin,close,108,3,0
42,analyzed_bin,openat,108,"AT_FDCWD, ""/lib64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
43,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/x86_64/x86_64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
44,analyzed_bin,stat,108,"""/usr/lib64/tls/x86_64/x86_64"", 0x7ffc7da0d8b0",-2 (ENOENT)
45,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/x86_64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
46,analyzed_bin,stat,108,"""/usr/lib64/tls/x86_64"", 0x7ffc7da0d8b0",-2 (ENOENT)
47,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/x86_64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
48,analyzed_bin,stat,108,"""/usr/lib64/tls/x86_64"", 0x7ffc7da0d8b0",-2 (ENOENT)
49,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/tls/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
50,analyzed_bin,stat,108,"""/usr/lib64/tls"", 0x7ffc7da0d8b0",-2 (ENOENT)
51,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/x86_64/x86_64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
52,analyzed_bin,stat,108,"""/usr/lib64/x86_64/x86_64"", 0x7ffc7da0d8b0",-2 (ENOENT)
53,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/x86_64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
54,analyzed_bin,stat,108,"""/usr/lib64/x86_64"", 0x7ffc7da0d8b0",-2 (ENOENT)
55,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/x86_64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
56,analyzed_bin,stat,108,"""/usr/lib64/x86_64"", 0x7ffc7da0d8b0",-2 (ENOENT)
57,analyzed_bin,openat,108,"AT_FDCWD, ""/usr/lib64/libQt5Widgets.so.5"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
58,analyzed_bin,stat,108,"""/usr/lib64"", 0x7ffc7da0d8b0",0
59,analyzed_bin,writev,108,"2, 0x7ffc7da0d560, 10",136
60,analyzed_bin,exit_group,108,127,
