,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 2528467, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fcd26b01000
2,analyzed_bin,mmap2,108,"0x7fcd26b01000, 2528106, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7fcd26b01000
3,analyzed_bin,mprotect,108,"0x7fcd26d69000, 5331, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7fffbea32680, 4095",18
5,analyzed_bin,mmap2,108,"0x7fcd26d6b000, 6758400, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fcd26d6b000
6,analyzed_bin,mmap2,108,"0x7fcd26d6b000, 390464, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fcd26d6b000
7,analyzed_bin,mprotect,108,"0x7fcd26d6b000, 390464, PROT_READ",0
8,analyzed_bin,mmap2,108,"0x7fcd26dcb000, 4110196, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 393216",0x7fcd26dcb000
9,analyzed_bin,mprotect,108,"0x7fcd26dcb000, 4110196, PROT_READ|PROT_EXEC",0
10,analyzed_bin,mmap2,108,"0x7fcd271b7000, 1146080, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 4505600",0x7fcd271b7000
11,analyzed_bin,mprotect,108,"0x7fcd271b7000, 1146080, PROT_READ",0
12,analyzed_bin,mmap2,108,"0x7fcd272d0000, 499960, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 5652480",0x7fcd272d0000
13,analyzed_bin,mprotect,108,"0x7fcd272d0000, 499960, PROT_READ|PROT_WRITE",0
14,analyzed_bin,mmap2,108,"0x7fcd2734b000, 596064, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fcd2734b000
15,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7fcd26b00000
16,analyzed_bin,close,108,3,0
17,analyzed_bin,munmap,108,"0x7fcd26b01000, 2528467",0
18,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 140519103382784",0
19,analyzed_bin,set_tid_address,108,0x7fcd273dc540,108
20,analyzed_bin,brk,108,0x0,1.40519E+14
21,analyzed_bin,brk,108,0x7fcd273df000,1.40519E+14
22,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fcd26d57000
23,analyzed_bin,mprotect,108,"0x7fcd26d57000, 81920, PROT_READ|PROT_EXEC",0
24,analyzed_bin,brk,108,0x7fcd273f1000,1.40519E+14
25,analyzed_bin,pipe2,108,"[656025177, 32717], O_CLOEXEC",0
26,analyzed_bin,brk,108,0x7fcd273f2000,1.40519E+14
27,analyzed_bin,pipe2,108,"[0, 0], O_CLOEXEC",0
28,analyzed_bin,rt_sigprocmask,108,"SIG_BLOCK, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS], 0x7fffbea0dc10, 8",0
29,analyzed_bin,clone,108,"CLONE_VM|CLONE_VFORK|SIGCHLD, 0x7fffbea0f208, 0x0, 0x7fff00000000",110
30,analyzed_bin,close,108,6,0
31,sh,execve,110,,0
32,analyzed_bin,read,108,"5, 0x7fffbea0dbec, 4",0
33,analyzed_bin,close,108,5,0
34,analyzed_bin,rt_sigprocmask,108,"SIG_SETMASK, [EMPTY], 0x0, 8",0
35,analyzed_bin,fcntl,108,"3, F_SETFD, 0x0",0
36,analyzed_bin,close,108,4,0
37,sh,brk,110,0x0,6950912
38,sh,access,110,"""/etc/ld.so.preload"", R_OK",-2 (ENOENT)
39,sh,openat,110,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
40,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
41,sh,stat,110,"""/lib64/tls/x86_64/x86_64"", 0x7ffca7ffdab0",-2 (ENOENT)
42,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
43,sh,stat,110,"""/lib64/tls/x86_64"", 0x7ffca7ffdab0",-2 (ENOENT)
44,sh,openat,110,"AT_FDCWD, ""/lib64/tls/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
45,sh,stat,110,"""/lib64/tls/x86_64"", 0x7ffca7ffdab0",-2 (ENOENT)
46,sh,openat,110,"AT_FDCWD, ""/lib64/tls/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
47,sh,stat,110,"""/lib64/tls"", 0x7ffca7ffdab0",-2 (ENOENT)
48,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
49,sh,stat,110,"""/lib64/x86_64/x86_64"", 0x7ffca7ffdab0",-2 (ENOENT)
50,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
51,sh,stat,110,"""/lib64/x86_64"", 0x7ffca7ffdab0",-2 (ENOENT)
52,sh,openat,110,"AT_FDCWD, ""/lib64/x86_64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",-2 (ENOENT)
53,sh,stat,110,"""/lib64/x86_64"", 0x7ffca7ffdab0",-2 (ENOENT)
54,sh,openat,110,"AT_FDCWD, ""/lib64/libresolv.so.2"", O_RDONLY|O_CLOEXEC",3
55,sh,read,110,"3, 0x7ffca7ffdc18, 832",832
56,sh,fstat,110,"3, 0x7ffca7ffdab0",0
57,sh,mmap2,110,"0x0, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f7fa478a000
58,sh,mmap2,110,"0x0, 2185824, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f7fa4350000
59,sh,mprotect,110,"0x7f7fa4363000, 2093056, PROT_NONE",0
60,sh,mmap2,110,"0x7f7fa4562000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 73728",0x7f7fa4562000
61,sh,mmap2,110,"0x7f7fa4564000, 6752, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f7fa4564000
62,sh,close,110,3,0
63,sh,openat,110,"AT_FDCWD, ""/lib64/libc.so.6"", O_RDONLY|O_CLOEXEC",3
64,sh,read,110,"3, 0x7ffca7ffdbe8, 832",832
65,sh,fstat,110,"3, 0x7ffca7ffda80",0
66,sh,mmap2,110,"0x0, 3885056, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 3, 0",0x7f7fa3f9b000
67,sh,mprotect,110,"0x7f7fa4147000, 2093056, PROT_NONE",0
68,sh,mmap2,110,"0x7f7fa4346000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 1748992",0x7f7fa4346000
69,sh,mmap2,110,"0x7f7fa434c000, 14336, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7f7fa434c000
70,sh,close,110,3,0
71,sh,mmap2,110,"0x0, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f7fa4787000
72,sh,arch_prctl,110,"ARCH_SET_FS, 140186196932416",0
73,sh,mprotect,110,"0x7f7fa4346000, 16384, PROT_READ",0
74,sh,mprotect,110,"0x7f7fa4562000, 4096, PROT_READ",0
75,sh,mprotect,110,"0x69e000, 4096, PROT_READ",0
76,sh,mprotect,110,"0x7f7fa478c000, 4096, PROT_READ",0
77,sh,getuid,110,,0
78,sh,brk,110,0x0,6950912
79,sh,brk,110,0x6c2000,7086080
80,sh,getpid,110,,110
81,sh,rt_sigaction,110,"SIGCHLD, {0x42cf95, SA_RESTORER, 0x7f7fa3fcfb20, [SIGHUP|SIGINT|SIGQUIT|SIGILL|SIGTRAP|SIGABRT|SIGBUS|SIGFPE|SIGKILL|SIGUSR1|SIGSEGV|SIGPIPE|SIGUSR2|SIGALRM|SIGTERM|SIGCHLD|SIGCONT|SIGSTOP|SIGTSTP|SIGTTIN|SIGTTOU|SIGURG|SIGXCPU|SIGXFSZ|SIGVTALRM|SIGPROF|SIGWINCH|SIGIO/SIGPOLL|SIGPWR|SIGSYS]}, 0x0, 8",0
82,sh,rt_sigaction,110,"SIGHUP, {SIG_DFL}, 0x7ffca7ffe270, 8",0
83,sh,getppid,110,,108
84,sh,uname,110,0x7ffca7ffe508,0
85,sh,stat,110,"""/root"", 0x7ffca7ffe478",0
86,sh,stat,110,"""."", 0x7ffca7ffe508",0
