,execname,name,pid,arguments,return
0,analyzed_bin,open,108,"""/proc/self/exe"", O_RDONLY",3
1,analyzed_bin,mmap2,108,"0x0, 2028846, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fda0337a000
2,analyzed_bin,mmap2,108,"0x7fda0337a000, 2028421, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED, 3, 0",0x7fda0337a000
3,analyzed_bin,mprotect,108,"0x7fda03568000, 5422, PROT_READ|PROT_EXEC",0
4,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7ffdaa7bf110, 4095",18
5,analyzed_bin,mmap2,108,"0x7fda0356a000, 6602752, PROT_NONE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fda0356a000
6,analyzed_bin,mmap2,108,"0x7fda0356a000, 382832, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fda0356a000
7,analyzed_bin,mprotect,108,"0x7fda0356a000, 382832, PROT_READ",0
8,analyzed_bin,mmap2,108,"0x7fda035c8000, 4044973, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 385024",0x7fda035c8000
9,analyzed_bin,mprotect,108,"0x7fda035c8000, 4044973, PROT_READ|PROT_EXEC",0
10,analyzed_bin,mmap2,108,"0x7fda039a4000, 1248301, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 4431872",0x7fda039a4000
11,analyzed_bin,mprotect,108,"0x7fda039a4000, 1248301, PROT_READ",0
12,analyzed_bin,mmap2,108,"0x7fda03ad5000, 265872, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 5677056",0x7fda03ad5000
13,analyzed_bin,mprotect,108,"0x7fda03ad5000, 265872, PROT_READ|PROT_WRITE",0
14,analyzed_bin,mmap2,108,"0x7fda03b16000, 651928, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0",0x7fda03b16000
15,analyzed_bin,mmap2,108,"0x0, 4096, PROT_READ, MAP_PRIVATE, 3, 0",0x7fda03379000
16,analyzed_bin,close,108,3,0
17,analyzed_bin,munmap,108,"0x7fda0337a000, 2028846",0
18,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 140574342205216",0
19,analyzed_bin,set_tid_address,108,0x7fda03bb5290,108
20,analyzed_bin,brk,108,0x0,140574342209536
21,analyzed_bin,brk,108,0x7fda03bbb000,140574342230016
22,analyzed_bin,open,108,"""/dev/urandom"", O_RDONLY",3
23,analyzed_bin,read,108,"3, 0x7ffdaa7bfea4, 4",4
24,analyzed_bin,brk,108,0x7fda03bbc000,140574342234112
25,analyzed_bin,brk,108,0x7fda03bbd000,140574342238208
26,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7fda03556000
27,analyzed_bin,mprotect,108,"0x7fda03556000, 81920, PROT_READ|PROT_EXEC",0
28,analyzed_bin,brk,108,0x7fda03bcf000,140574342311936
29,analyzed_bin,readlink,108,"""/proc/self/exe"", 0x7fda03b16220, 519",18
30,analyzed_bin,open,108,"""/root/configcc.json"", O_RDONLY",-2 (ENOENT)
31,analyzed_bin,open,108,"""/etc/localtime"", O_RDONLY|O_NONBLOCK|O_CLOEXEC",4
32,analyzed_bin,fstat,108,"4, 0x7ffdaa7bf800",0
33,analyzed_bin,mmap2,108,"0x0, 127, PROT_READ, MAP_SHARED, 4, 0",0x7fda03555000
34,analyzed_bin,close,108,4,0
35,analyzed_bin,ioctl,108,"1, 21523, 0x7ffdaa7bf9e8",-25 (ENOTTY)
36,analyzed_bin,writev,108,"1, 0x7ffdaa7bf980, 2",64
37,analyzed_bin,open,108,"""/root/.360.json"", O_RDONLY",-2 (ENOENT)
38,analyzed_bin,writev,108,"1, 0x7ffdaa7bfa20, 2",60
39,analyzed_bin,open,108,"""/root/.config/360.json"", O_RDONLY",-2 (ENOENT)
40,analyzed_bin,writev,108,"1, 0x7ffdaa7bfa20, 2",67
41,analyzed_bin,brk,108,0x7fda03be0000,140574342381568
42,analyzed_bin,sched_getaffinity,108,"0, 128, 0x7ffdaa7bf8c0",8
43,analyzed_bin,faccessat,108,"-1, ""/sys/bus/cpu/devices"", R_OK|X_OK",0
