,execname,name,pid,arguments,return
0,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 140499191689592",0
1,analyzed_bin,set_tid_address,108,0x7fc8846971b0,108
2,analyzed_bin,brk,108,0x0,140499191693312
3,analyzed_bin,brk,108,0x7fc884699000,140499191697408
4,analyzed_bin,brk,108,0x7fc8846ab000,140499191771136
5,analyzed_bin,brk,108,0x7fc8846ac000,140499191775232
6,analyzed_bin,brk,108,0x7fc8846ad000,140499191779328
7,analyzed_bin,brk,108,0x7fc8846ae000,140499191783424
8,analyzed_bin,brk,108,0x7fc8846af000,140499191787520
9,analyzed_bin,brk,108,0x7fc8846b0000,140499191791616
10,analyzed_bin,brk,108,0x7fc8846b1000,140499191795712
11,analyzed_bin,brk,108,0x7fc8846b2000,140499191799808
12,analyzed_bin,brk,108,0x7fc8846b3000,140499191803904
13,analyzed_bin,brk,108,0x7fc8846b4000,140499191808000
14,analyzed_bin,brk,108,0x7fc8846b5000,140499191812096
15,analyzed_bin,brk,108,0x7fc8846b6000,140499191816192
16,analyzed_bin,brk,108,0x7fc8846b7000,140499191820288
17,analyzed_bin,brk,108,0x7fc8846b8000,140499191824384
18,analyzed_bin,brk,108,0x7fc8846b9000,140499191828480
19,analyzed_bin,brk,108,0x7fc8846ba000,140499191832576
20,analyzed_bin,brk,108,0x7fc8846bb000,140499191836672
21,analyzed_bin,brk,108,0x7fc8846bd000,140499191844864
22,analyzed_bin,brk,108,0x7fc8846be000,140499191848960
23,analyzed_bin,brk,108,0x7fc8846bf000,140499191853056
24,analyzed_bin,brk,108,0x7fc8846c0000,140499191857152
25,analyzed_bin,brk,108,0x7fc8846c1000,140499191861248
26,analyzed_bin,brk,108,0x7fc8846c2000,140499191865344
27,analyzed_bin,brk,108,0x7fc8846c3000,140499191869440
28,analyzed_bin,brk,108,0x7fc8846c4000,140499191873536
29,analyzed_bin,brk,108,0x7fc8846c7000,140499191885824
30,analyzed_bin,brk,108,0x7fc8846c8000,140499191889920
31,analyzed_bin,brk,108,0x7fc8846c9000,140499191894016
32,analyzed_bin,brk,108,0x7fc8846ca000,140499191898112
33,analyzed_bin,brk,108,0x7fc8846cb000,140499191902208
34,analyzed_bin,brk,108,0x7fc8846cc000,140499191906304
35,analyzed_bin,brk,108,0x7fc8846cd000,140499191910400
36,analyzed_bin,brk,108,0x7fc8846ce000,140499191914496
37,analyzed_bin,brk,108,0x7fc8846cf000,140499191918592
38,analyzed_bin,brk,108,0x7fc8846d0000,140499191922688
