,execname,name,pid,arguments,return
0,analyzed_bin,uname,108,0x7ffd52676f60,0
1,analyzed_bin,brk,108,0x0,13824000
2,analyzed_bin,brk,108,0xd30200,13828608
3,analyzed_bin,arch_prctl,108,"ARCH_SET_FS, 13826240",0
4,analyzed_bin,set_tid_address,108,0xd2fb90,108
5,analyzed_bin,set_robust_list,108,"0xd2fba0, 24",0
6,analyzed_bin,rt_sigaction,108,"0x20, {0x722ac0, SA_SIGINFO|SA_RESTORER, 0x72b490, [EMPTY]}, 0x0, 8",0
7,analyzed_bin,rt_sigaction,108,"0x21, {0x722b50, SA_RESTART|SA_SIGINFO|SA_RESTORER, 0x72b490, [EMPTY]}, 0x0, 8",0
8,analyzed_bin,rt_sigprocmask,108,"SIG_UNBLOCK, [EMPTY], 0x0, 8",0
9,analyzed_bin,getrlimit,108,"RLIMIT_STACK, 0x7ffd52677040",0
10,analyzed_bin,brk,108,0xd51200,13963776
11,analyzed_bin,brk,108,0xd52000,13967360
12,analyzed_bin,open,108,"0x93719c, O_RDONLY",3
13,analyzed_bin,read,108,"3, 0x7ffd52677094, 4",4
14,analyzed_bin,mmap2,108,"0x0, 81920, PROT_READ|PROT_WRITE|PROT_EXEC, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0",0x7f88354e1000
15,analyzed_bin,mprotect,108,"0x7f88354e1000, 81920, PROT_READ|PROT_EXEC",0
16,analyzed_bin,futex,108,"0xd2a00c, FUTEX_WAKE_PRIVATE, 2147483647",0
17,analyzed_bin,futex,108,"0xd2a018, FUTEX_WAKE_PRIVATE, 2147483647",0
18,analyzed_bin,clock_gettime,108,"CLOCK_REALTIME, 0x7ffd52677020",0
19,analyzed_bin,readlink,108,"""/proc/self/exe"", 0xc89620, 519",18
20,analyzed_bin,open,108,"""/root/config.json"", O_RDONLY",-2 (ENOENT)
21,analyzed_bin,open,108,"""/root/.xmrig.json"", O_RDONLY",-2 (ENOENT)
22,analyzed_bin,open,108,"""/root/.config/xmrig.json"", O_RDONLY",-2 (ENOENT)
